activity,fall_binary,distance_m,person_binary,floor,max,min,mean,std,median,peak,p2p,energy,rms,crest,shape,impulse,margin
FCS,1,1,AD,H,1.1799999999999995,-0.25,-0.0063126252505006555,0.08544726679380657,-0.0099999999999997,1.1799999999999995,1.4299999999999995,0.010619999999999994,0.06042034178375673,19.529846491487874,-186.9269841269943,-1.6823428571429486,-186.92698708815513
FCS,1,1,AD,H,1.0500000000000007,-0.1600000000000001,-0.008897795591182051,0.05772970161837041,-0.0099999999999997,1.0500000000000007,1.2100000000000009,0.009450000000000005,0.040821063490225726,25.722014818438396,-118.00675675676099,-1.062060810810849,-118.00675808300811
FCS,1,1,AD,H,0.9800000000000004,-0.7699999999999996,-0.012004008016031745,0.07474986389672053,-0.0099999999999997,0.9800000000000004,1.75,0.008820000000000003,0.05285613565414257,18.540893840830634,-81.63939899833275,-0.7347545909849947,-81.63939967843393
FCS,1,1,AD,H,0.75,-0.0999999999999996,-0.007975951903807283,0.048218372729910405,-0.0099999999999997,0.75,0.8499999999999996,0.006749999999999999,0.034095538335100144,21.997013000023575,-94.03266331658683,-0.8462939698492814,-94.03266449553908
FCS,1,1,AD,H,0.3000000000000007,-0.879999999999999,-0.017995991983967573,0.06357167147104452,-0.0099999999999997,0.879999999999999,1.1799999999999997,0.007919999999999991,0.04495195998853896,19.576454513315227,-48.89977728285171,-0.4400979955456654,-48.899777554577646
FCS,1,1,AD,H,0.2400000000000002,-0.3699999999999992,-0.013967935871743154,0.03614849691570794,-0.0099999999999997,0.3699999999999992,0.6099999999999994,0.0033299999999999927,0.02556084729879808,14.475263502606868,-26.48923959827891,-0.23840315638451018,-26.489239787922106
FCS,1,1,AD,H,0.1600000000000001,-0.3699999999999992,-0.011563126252504682,0.03061553145236137,-0.0099999999999997,0.3699999999999992,0.5299999999999994,0.0033299999999999927,0.021648449899594753,17.09129298938514,-31.998266897747808,-0.28798440207973025,-31.998267174474588
FCS,1,1,AD,H,0.5099999999999998,-1.2400000000000002,-0.01591182364729423,0.0712067542293036,-0.0099999999999997,1.2400000000000002,1.75,0.011160000000000002,0.050350778781824444,24.627225834441585,-77.92947103274736,-0.7013652392947263,-77.92947152250564
FCS,1,1,AD,H,0.5400000000000009,-0.7099999999999991,-0.012585170340681028,0.04481477117405116,-0.0099999999999997,0.7099999999999991,1.25,0.006389999999999991,0.03168882859449499,22.4053722239307,-56.41560509554283,-0.5077404458598854,-56.41560554381332
FCS,1,1,AD,H,0.6300000000000008,-0.6500000000000004,-0.010581162324648945,0.06146359916193858,-0.0099999999999997,0.6500000000000004,1.2800000000000011,0.005850000000000003,0.04346132776353857,14.955824717009937,-61.42992424242633,-0.5528693181818369,-61.429924822985654
LC,0,1,AW,H,0.4600000000000008,-0.75,0.012905811623246999,0.0654162847272962,0.0099999999999997,0.75,1.2100000000000009,0.006749999999999999,0.04625629853070112,16.21400812047708,58.113354037264806,0.5230201863353832,58.11335358697655
LC,0,1,AW,H,3.1500000000000004,-0.8099999999999987,0.022204408817635777,0.18133582388678748,0.0099999999999997,3.1500000000000004,3.959999999999999,0.02835,0.12822379074239695,24.56642391994467,141.86371841154912,1.276773465703942,141.86371777265023
LC,0,1,AW,H,1.16,-1.3099999999999987,0.011002004008016542,0.10355429476292799,0.0099999999999997,1.3099999999999987,2.469999999999999,0.011789999999999988,0.07322394404785697,17.890322858651565,119.06921675773572,1.0716229508196213,119.06921567548548
LC,0,1,AW,H,0.5099999999999998,-0.7799999999999994,0.012685370741483494,0.06749983791749714,0.0099999999999997,0.7799999999999994,1.2899999999999991,0.007019999999999994,0.04772959312045507,16.34206262834705,61.48815165876516,0.5533933649288865,61.48815117404814
LC,0,1,AW,H,0.4299999999999997,-1.3200000000000005,0.012364729458918294,0.0868550195218534,0.0099999999999997,1.3200000000000005,1.7500000000000002,0.011880000000000003,0.0614157732839925,21.492849953971795,106.75526742301068,0.960797406807096,106.7552665596253
LC,0,1,AW,H,0.1900000000000012,-0.1099999999999994,0.013026052104208917,0.029464111357337893,0.0099999999999997,0.1900000000000012,0.3000000000000006,0.0017100000000000106,0.020834272942409193,9.11958869528136,14.586153846153378,0.13127538461538038,14.586153734176598
LC,0,1,AW,H,0.4800000000000004,-0.209999999999999,0.01268537074148347,0.03820788631578186,0.0099999999999997,0.4800000000000004,0.6899999999999994,0.0043200000000000035,0.027017055508694047,17.766554902533223,37.83886255924023,0.3405497630331621,37.838862260952844
LC,0,1,AW,H,0.7700000000000014,-1.0599999999999987,0.011883767535070684,0.08029350349716638,0.0099999999999997,1.0599999999999987,1.83,0.009539999999999988,0.05677608080807211,18.669833932061294,89.19730185497052,0.8027757166947346,89.19730110438952
LC,0,1,AW,H,0.7800000000000011,-1.4000000000000004,0.012024048096192879,0.08508743095470443,0.0099999999999997,1.4000000000000004,2.1800000000000015,0.012600000000000002,0.060165899421813655,23.268994786977597,116.43333333332858,1.047899999999957,116.43333236499137
LC,0,1,AW,H,0.2100000000000008,-0.209999999999999,0.012384769539078685,0.037078613008952634,0.0099999999999997,0.2100000000000008,0.4199999999999998,0.0018900000000000071,0.026218538695622143,8.009599712552465,16.95631067961099,0.1526067961164989,16.956310542698386
RBS,0,2,AD,H,0.0500000000000007,-0.0599999999999987,-0.0012825651302602419,0.015443845573485165,0.0,0.0599999999999987,0.1099999999999994,0.0005399999999999883,0.010920447932609205,5.4942801220483455,-46.781250000009166,-0.4210312500000825,-46.78125364748504
RBS,0,2,AD,H,0.0600000000000005,-0.0399999999999991,-0.0004609218436871081,0.01516932462538349,0.0,0.0600000000000005,0.09999999999999959,0.0005400000000000045,0.01072633230862875,5.593710718036749,-130.17391304355465,-1.1715652173919917,-130.17394128564015
RBS,0,2,AD,H,0.0899999999999998,-0.0899999999999998,-0.0014428857715428466,0.016523144425192204,0.0,0.0899999999999998,0.1799999999999996,0.0008099999999999981,0.011683627469578106,7.703087096395559,-62.37500000001022,-0.5613750000000919,-62.37500432294455
RBS,0,2,AD,H,0.0600000000000005,-0.0700000000000002,-0.002945891783566902,0.015777668313981447,0.0,0.0700000000000002,0.1300000000000007,0.0006300000000000018,0.011156496256128402,6.274371307349145,-23.761904761906706,-0.21385714285716032,-23.76190556851833
RBS,0,2,AD,H,0.200000000000001,-0.0700000000000002,0.0003807615230463696,0.01875800526889563,0.0,0.200000000000001,0.27000000000000124,0.001800000000000009,0.013263912727169086,15.07850693184461,525.2631578943568,4.727368421049211,525.2630199437006
RBS,0,2,AD,H,0.1400000000000005,-0.129999999999999,-0.0013026052104205654,0.01957650560014484,0.0,0.1400000000000005,0.2699999999999995,0.0012600000000000046,0.013842679861798839,10.113648614120857,-107.47692307694626,-0.9672923076925164,-107.47693132786762
RBS,0,2,AD,H,0.1300000000000007,-0.1699999999999999,-0.0005611222444887248,0.01790441408474343,0.0,0.1699999999999999,0.3000000000000006,0.001529999999999999,0.012660332612494012,13.42776727937094,-302.96428571442226,-2.7266785714298,-302.96433970699564
RBS,0,2,AD,H,0.0700000000000002,-0.1099999999999994,0.0001803607214431569,0.0170331455479949,0.0,0.1099999999999994,0.1799999999999996,0.0009899999999999946,0.012044252721924645,9.132986706577645,609.8888888879687,5.4889999999917185,609.88855073865
RBS,0,2,AD,H,0.0600000000000005,-0.1199999999999992,-0.002525050100200112,0.018258432440058113,0.0,0.1199999999999992,0.17999999999999972,0.0010799999999999929,0.012910661392201532,9.294643888072471,-47.52380952381464,-0.4277142857143318,-47.52381140590845
RBS,0,2,AD,H,0.0999999999999996,-0.0700000000000002,0.0008016032064131351,0.017872785549209274,0.0,0.0999999999999996,0.16999999999999982,0.0008999999999999964,0.01263796786053881,7.912664528309394,124.74999999995136,1.122749999999562,124.74998443739078
RBS,0,2,AD,H,0.0400000000000009,-0.0700000000000002,0.0012224448897798256,0.015020354905274143,0.0,0.0700000000000002,0.1100000000000011,0.0006300000000000018,0.010620994809347969,6.590719726027015,57.262295081954896,0.515360655737594,57.262290397711794
RBS,0,2,AD,H,0.0700000000000002,-0.1099999999999994,0.00044088176352735046,0.017210193930474724,0.0,0.1099999999999994,0.1799999999999996,0.0009899999999999946,0.012169444833774239,9.03903189525236,249.49999999983095,2.2454999999984784,249.49994340870742
RBS,0,2,AD,H,0.1100000000000012,-0.1399999999999988,-0.0007615230460918792,0.019269314164193918,0.0,0.1399999999999988,0.25,0.001259999999999989,0.01362546271431551,10.274880415834145,-183.84210526323,-1.6545789473690697,-183.84212940460435
RBS,0,2,AD,H,0.0700000000000002,-0.0499999999999989,6.012024048124846e-05,0.01636053364134836,0.0,0.0700000000000002,0.11999999999999911,0.0006300000000000018,0.011568644281628064,6.050838654548815,1164.3333333277874,10.478999999950085,1164.3313966565643
RBS,0,2,AD,H,0.0700000000000002,-0.0599999999999987,-0.00046092184368707017,0.01643986168313308,0.0,0.0700000000000002,0.1299999999999989,0.0006300000000000018,0.01162473767791229,6.021641256731708,-151.8695652174921,-1.3668260869574287,-151.86959816659186
RBS,0,3,AD,H,0.0400000000000009,-0.0499999999999989,-0.0014228456913825153,0.014922139259454393,0.0,0.0499999999999989,0.0899999999999998,0.00044999999999999007,0.010551545860170207,4.7386421537282075,-35.14084507042794,-0.3162676056338515,-35.1408475401861
RBS,0,3,AD,H,0.0500000000000007,-0.0399999999999991,0.000561122244489246,0.014426303910606272,0.0,0.0500000000000007,0.0899999999999998,0.0004500000000000062,0.010200937322647704,4.901510363071513,89.10714285710154,0.8019642857139138,89.10712697693855
RBS,0,3,AD,H,0.0400000000000009,-0.0399999999999991,-0.00028056112224425874,0.013455319594395438,0.0,0.0400000000000009,0.08,0.0003600000000000081,0.00951434772822924,4.204176801455363,-142.57142857154878,-1.283142857143939,-142.57147938809752
RBS,0,3,AD,H,0.0400000000000009,-0.0399999999999991,-0.0004008016032061694,0.01374756931267289,0.0,0.0400000000000009,0.08,0.0003600000000000081,0.009720999485823084,4.114803221452292,-99.80000000006287,-0.8982000000005657,-99.80002490016906
RBS,0,3,AD,H,0.0500000000000007,-0.0399999999999991,-0.0012024048096189982,0.014525877553637498,0.0,0.0500000000000007,0.0899999999999998,0.0004500000000000062,0.010271346520862533,4.867910930513711,-41.583333333342225,-0.37425000000007996,-41.58333679168973
RBS,0,3,AD,H,0.0400000000000009,-0.0399999999999991,-0.0002204408817632629,0.014175871200854881,0.0,0.0400000000000009,0.08,0.0003600000000000081,0.010023854655351572,3.9904808454745058,-181.454545454767,-1.6330909090929027,-181.4546277691845
RBS,0,3,AD,H,0.0400000000000009,-0.0399999999999991,0.0008617234468940339,0.014404474073321415,0.0,0.0400000000000009,0.08,0.0003600000000000081,0.010185501296671381,3.927150842646585,46.41860465115057,0.4177674418603551,46.41859926443405
RBS,0,3,AD,H,0.0400000000000009,-0.0399999999999991,-0.0002404809619235526,0.01447689908085047,0.0,0.0400000000000009,0.08,0.0003600000000000081,0.010236713510622664,3.90750409870246,-166.3333333335412,-1.4970000000018706,-166.3334025005144
RBS,0,3,AD,H,0.0400000000000009,-0.0399999999999991,-0.0005410821643284219,0.013735445587720711,0.0,0.0400000000000009,0.08,0.0003600000000000081,0.009712426717696157,4.118435192630121,-73.92592592595976,-0.6653333333336378,-73.9259395885686
RBS,0,3,AD,H,0.0400000000000009,-0.0399999999999991,-0.0003607214428855396,0.014264784491428855,0.0,0.0400000000000009,0.08,0.0003600000000000081,0.010086725846054039,3.9656079297177524,-110.8888888889627,-0.9980000000006641,-110.88891962983541
RBS,0,3,AD,H,0.0400000000000009,-0.0399999999999991,-0.0010020040080158013,0.014035167963048665,0.0,0.0400000000000009,0.08,0.0003600000000000081,0.009924362441763894,4.030485608997121,-39.9200000000101,-0.35928000000009086,-39.92000398402649
RBS,0,3,AD,H,0.0400000000000009,-0.0499999999999989,8.016032064158185e-05,0.015392899420989193,0.0,0.0499999999999989,0.0899999999999998,0.00044999999999999007,0.010884423562703938,4.593720532093825,623.7499999976574,5.613749999978917,623.7492218705032
RBS,0,3,AD,H,0.0400000000000009,-0.0399999999999991,-8.016032064103512e-05,0.014353315220030942,0.0,0.0400000000000009,0.08,0.0003600000000000081,0.01014932652459196,3.9411482035857595,-499.00000000155165,-4.4910000000139645,-499.0006225048282
RBS,0,3,AD,H,0.0700000000000002,-0.0399999999999991,-0.0010821643286570634,0.01441047917890705,0.0,0.0700000000000002,0.10999999999999929,0.0006300000000000018,0.010189747547552724,6.86965007458032,-64.68518518520038,-0.5821666666668034,-64.6851911625912
RBS,0,3,AD,H,0.0400000000000009,-0.0399999999999991,-0.0009018036072142227,0.01350993895455228,0.0,0.0400000000000009,0.08,0.0003600000000000081,0.009552969448180213,4.187179726364631,-44.355555555566696,-0.39920000000010025,-44.355560474105516
K,0,3,AW,H,0.08,-0.0599999999999987,0.01336673346693437,0.016424580448912644,0.0099999999999997,0.08,0.1399999999999987,0.0007199999999999999,0.011613932213570119,6.8882785372662365,5.985007496251649,0.053865067466264835,5.985007451476257
K,0,3,AW,H,0.0500000000000007,-0.0299999999999993,0.013446893787575668,0.014566792755286065,0.0099999999999997,0.0500000000000007,0.08,0.0004500000000000062,0.010300277937401849,4.854237944244516,3.718330849478299,0.03346497764530469,3.718330821826331
