activity,fall_binary,distance_m,person_binary,floor,max,min,mean,std,median,peak,p2p,energy,rms,crest,shape,impulse,margin,max_squared
FCS,1,1,AD,H,10.62,9.19,9.433679999999995,0.0853617646357163,9.43,10.62,1.4299999999999995,0.0955799999999999,0.060359882627965,175.94467612631993,1.1257536825501824,0.0101317831429516,1.125753682538249,112.78439999999998
FCS,1,1,AD,H,10.49,9.28,9.431099999999995,0.0576718482811877,9.43,10.49,1.2100000000000009,0.09441,0.0407801550031895,257.23296047255195,1.1122774649828764,0.0100104971848458,1.1122774649710827,110.04010000000001
FCS,1,1,AD,H,10.42,8.67,9.428019999999991,0.0746768562925051,9.43,10.42,1.75,0.0937799999999999,0.0528045114821236,197.33162389974137,1.1052161535507996,0.0099469453819571,1.105216153539077,108.57639999999999
FCS,1,1,AD,H,10.19,9.34,9.432000000000002,0.0481730348075053,9.43,10.19,0.8499999999999996,0.0917099999999999,0.0340634795827226,299.1473603057415,1.0803647158608989,0.009723282442748,1.0803647158494445,103.83609999999999
FCS,1,1,AD,H,9.74,8.56,9.422039999999988,0.0635130397038658,9.43,9.74,1.1799999999999995,0.08766,0.0449105010683739,216.87578112680907,1.0337464073597662,0.0093037176662378,1.0337464073487947,94.86760000000001
FCS,1,1,AD,H,9.68,9.07,9.426039999999986,0.0361126937974253,9.43,9.68,0.6099999999999994,0.0871199999999999,0.0255355306710728,379.0796488504424,1.0269423851373445,0.009242481466236,1.0269423851264496,93.7024
FCS,1,1,AD,H,9.6,9.07,9.428439999999991,0.0305849190705009,9.43,9.6,0.5299999999999994,0.0863999999999999,0.0216268036767929,443.89361199507465,1.0181960112171269,0.0091637641009541,1.0181960112063275,92.16
FCS,1,1,AD,H,9.95,8.2,9.42411999999999,0.0711389281208844,9.43,9.95,1.75,0.0895499999999999,0.0503028184806197,197.80203774930513,1.0558014965853586,0.0095022134692682,1.0558014965741556,99.00249999999998
FCS,1,1,AD,H,9.98,8.73,9.427419999999987,0.0447699933505603,9.43,9.98,1.25,0.08982,0.0316571658918578,315.25247819378666,1.0586141277252965,0.0095275271495276,1.058614127714067,99.60040000000001
FCS,1,1,AD,H,10.07,8.79,9.429419999999997,0.0614019870038098,9.43,10.07,1.2800000000000011,0.09063,0.0434177613887221,231.93273162664016,1.0679341889532976,0.0096114077005796,1.067934188941972,101.40490000000001
LC,0,1,AW,H,9.9,8.69,9.452899999999971,0.0653508336819497,9.45,9.9,1.2100000000000009,0.0891,0.0462100176527009,214.23926029211023,1.0472976546879826,0.0094256788921918,1.0472976546769035,98.01
LC,0,1,AW,H,12.59,8.63,9.462199999999982,0.1811540603662373,9.45,12.59,3.959999999999999,0.11331,0.1280952645244435,98.28622507428864,1.3305573756631677,0.0119750163809685,1.3305573756491058,158.50809999999998
LC,0,1,AW,H,10.6,8.13,9.450999999999976,0.1034504906127372,9.45,10.6,2.469999999999999,0.0953999999999999,0.0731505434293417,144.9066473475873,1.121574436567562,0.010094169929108,1.1215744365556946,112.36
LC,0,1,AW,H,9.95,8.66,9.452699999999972,0.0674329623316197,9.45,9.95,1.2899999999999991,0.0895499999999999,0.0476823049401853,208.67279827352507,1.0526093073936575,0.0094734837665429,1.052609307382522,99.00249999999998
LC,0,1,AW,H,9.87,8.12,9.45229999999998,0.0867800181095059,9.45,9.87,1.75,0.0888299999999999,0.061362739276723,160.8467958949808,1.044190302889246,0.0093977127260032,1.0441903028781991,97.41689999999998
LC,0,1,AW,H,9.63,9.33,9.453039999999962,0.0294362256881812,9.45,9.63,0.3000000000000007,0.08667,0.0208145547966505,462.6570250519907,1.018719903861619,0.0091684791347545,1.0187199038508423,92.73690000000002
LC,0,1,AW,H,9.92,9.23,9.452779999999963,0.0382281884056459,9.45,9.92,0.6899999999999995,0.08928,0.0270314112541091,366.98046974857834,1.0494267294912225,0.009444840565421,1.0494267294801205,98.4064
LC,0,1,AW,H,10.21,8.38,9.451999999999977,0.080255104283323,9.45,10.21,1.83,0.09189,0.0567489284635712,179.9152913795383,1.0801946677951786,0.0097217520101566,1.0801946677837504,104.24410000000002
LC,0,1,AW,H,10.22,8.04,9.452079999999969,0.0850113372139848,9.45,10.22,2.1800000000000015,0.0919799999999999,0.0601120930217449,170.01570709412857,1.0812434934956152,0.0097311914414605,1.081243493484176,104.4484
LC,0,1,AW,H,9.65,9.23,9.452299999999966,0.037089908636249,9.45,9.65,0.4199999999999999,0.08685,0.0262265259102811,367.9480855761023,1.0209155443648674,0.0091882398992838,1.0209155443540667,93.1225
RBS,0,2,AD,H,9.49,9.38,9.43873999999997,0.0154366116086372,9.44,9.49,0.1099999999999994,0.08541,0.0109153327470103,869.4192124009458,1.005430809620779,0.009048877286587,1.0054308096101263,90.0601
RBS,0,2,AD,H,9.5,9.4,9.439579999999983,0.0151817182538169,9.44,9.5,0.0999999999999996,0.0854999999999999,0.0107350959273375,884.9478443697631,1.0064007085061004,0.0090576063765549,1.006400708495439,90.25
RBS,0,2,AD,H,9.53,9.35,9.438579999999968,0.0165145105321421,9.44,9.53,0.1799999999999997,0.0857699999999999,0.0116775223852543,816.0977719069831,1.009685779004896,0.009087172011044,1.0096857789941986,90.8209
RBS,0,2,AD,H,9.5,9.37,9.43701999999998,0.015780292623096,9.44,9.5,0.1300000000000007,0.0854999999999999,0.0111583519228992,851.3802096978147,1.0066737169148758,0.0090600634522338,1.0066737169042086,90.25
RBS,0,2,AD,H,9.64,9.37,9.440419999999976,0.0187597296065221,9.44,9.64,0.2700000000000013,0.08676,0.0132651320179978,726.7172303238787,1.0211410085568255,0.0091902690770114,1.0211410085460089,92.92960000000001
RBS,0,2,AD,H,9.58,9.31,9.438739999999973,0.0195800704369681,9.44,9.58,0.2699999999999996,0.0862199999999999,0.0138452005820904,691.9365265384661,1.0149659806287734,0.0091346938256589,1.0149659806180202,91.7764
RBS,0,2,AD,H,9.57,9.27,9.439459999999984,0.0178926995558186,9.44,9.57,0.3000000000000007,0.08613,0.0126520491896528,756.399209056708,1.0138291809065367,0.0091244626281588,1.0138291808957964,91.5849
RBS,0,2,AD,H,9.51,9.33,9.440139999999976,0.0170399859813466,9.44,9.51,0.1799999999999997,0.0855899999999999,0.0120490896387339,789.2712466366258,1.007400313978397,0.0090666028258055,1.0074003139677254,90.4401
RBS,0,2,AD,H,9.5,9.32,9.437459999999977,0.0182431912793818,9.44,9.5,0.1799999999999997,0.0854999999999999,0.0128998842641341,736.4407157057261,1.0066267830539175,0.0090596410474852,1.0066267830432511,90.25
