activity,fall_binary,distance_m,person_binary,floor,max,min,mean,std,median,peak,p2p,energy,rms,crest,shape,impulse,margin,max_squared
LC,0,1,AW,H,9.9,8.69,9.452899999999971,0.0653508336819497,9.45,9.9,1.2100000000000009,0.0891,0.0462100176527009,214.23926029211023,1.0472976546879826,0.0094256788921918,1.0472976546769035,98.01
LC,0,1,AW,H,12.59,8.63,9.462199999999982,0.1811540603662373,9.45,12.59,3.959999999999999,0.11331,0.1280952645244435,98.28622507428864,1.3305573756631677,0.0119750163809685,1.3305573756491058,158.50809999999998
LC,0,1,AW,H,10.6,8.13,9.450999999999976,0.1034504906127372,9.45,10.6,2.469999999999999,0.0953999999999999,0.0731505434293417,144.9066473475873,1.121574436567562,0.010094169929108,1.1215744365556946,112.36
LC,0,1,AW,H,9.95,8.66,9.452699999999972,0.0674329623316197,9.45,9.95,1.2899999999999991,0.0895499999999999,0.0476823049401853,208.67279827352507,1.0526093073936575,0.0094734837665429,1.052609307382522,99.00249999999998
LC,0,1,AW,H,9.87,8.12,9.45229999999998,0.0867800181095059,9.45,9.87,1.75,0.0888299999999999,0.061362739276723,160.8467958949808,1.044190302889246,0.0093977127260032,1.0441903028781991,97.41689999999998
LC,0,1,AW,H,9.63,9.33,9.453039999999962,0.0294362256881812,9.45,9.63,0.3000000000000007,0.08667,0.0208145547966505,462.6570250519907,1.018719903861619,0.0091684791347545,1.0187199038508423,92.73690000000002
LC,0,1,AW,H,9.92,9.23,9.452779999999963,0.0382281884056459,9.45,9.92,0.6899999999999995,0.08928,0.0270314112541091,366.98046974857834,1.0494267294912225,0.009444840565421,1.0494267294801205,98.4064
LC,0,1,AW,H,10.21,8.38,9.451999999999977,0.080255104283323,9.45,10.21,1.83,0.09189,0.0567489284635712,179.9152913795383,1.0801946677951786,0.0097217520101566,1.0801946677837504,104.24410000000002
LC,0,1,AW,H,10.22,8.04,9.452079999999969,0.0850113372139848,9.45,10.22,2.1800000000000015,0.0919799999999999,0.0601120930217449,170.01570709412857,1.0812434934956152,0.0097311914414605,1.081243493484176,104.4484
LC,0,1,AW,H,9.65,9.23,9.452299999999966,0.037089908636249,9.45,9.65,0.4199999999999999,0.08685,0.0262265259102811,367.9480855761023,1.0209155443648674,0.0091882398992838,1.0209155443540667,93.1225
K,0,3,AW,H,9.52,9.38,9.453419999999973,0.0164512883926934,9.45,9.52,0.1399999999999988,0.0856799999999999,0.011632817581729,818.3743906508481,1.0070429537669994,0.0090633865839029,1.0070429537563466,90.6304
K,0,3,AW,H,9.49,9.41,9.45341999999997,0.0145646096999347,9.45,9.49,0.08,0.08541,0.0102987342841592,921.472458474514,1.0038694990807593,0.0090348254917268,1.0038694990701402,90.0601
K,0,3,AW,H,9.51,9.39,9.45381999999997,0.0165697529681907,9.45,9.51,0.1199999999999992,0.0855899999999999,0.0117165846863935,811.6699750434892,1.0059425713626904,0.0090534831422642,1.0059425713520498,90.4401
K,0,3,AW,H,9.49,9.37,9.452379999999964,0.0145519455137958,9.45,9.49,0.120000000000001,0.08541,0.0102897793522622,922.2743923963352,1.0039799500231723,0.0090358195502085,1.003979950012551,90.0601
K,0,3,AW,H,9.5,9.39,9.452819999999967,0.0154636946330241,9.45,9.5,0.1099999999999994,0.0854999999999999,0.0109344833372093,868.8110546267962,1.0049911031840268,0.0090449199286562,1.0049911031733951,90.25
K,0,3,AW,H,9.5,9.39,9.45255999999996,0.0146791469339819,9.45,9.5,0.1099999999999994,0.0854999999999999,0.0103797243390523,915.2458860836532,1.005018746244408,0.0090451687161996,1.0050187462337756,90.25
K,0,3,AW,H,9.52,9.35,9.45333999999998,0.0171005631052619,9.45,9.52,0.1699999999999999,0.0856799999999999,0.0120919241338391,787.3023262987837,1.0070514759862672,0.0090634632838764,1.0070514759756142,90.6304
K,0,3,AW,H,9.49,9.41,9.45237999999997,0.0144413540019914,9.45,9.49,0.08,0.08541,0.0102115793443236,929.3371456076748,1.003979950023172,0.0090358195502085,1.0039799500125506,90.0601
K,0,3,AW,H,9.5,9.39,9.451979999999974,0.0160622411631246,9.45,9.5,0.1099999999999994,0.0854999999999999,0.0113577196474991,836.4355077290382,1.0050804170131578,0.0090457237531184,1.005080417002524,90.25
K,0,3,AW,H,9.51,9.41,9.452699999999972,0.0156524758424988,9.45,9.51,0.0999999999999996,0.0855899999999999,0.0110679718105895,859.236015662874,1.0060617601320287,0.0090545558411882,1.0060617601213857,90.4401
K,0,3,AW,H,9.5,9.38,9.451539999999971,0.0158976057233623,9.45,9.5,0.1199999999999992,0.0854999999999999,0.0112413048116195,845.0976251600562,1.0051272067832362,0.0090461448610491,1.0051272067726018,90.25
