activity,fall_binary,distance_m,person_binary,floor,max,min,mean,std,median,peak,p2p,energy,rms,crest,shape,impulse,margin
FCS,1,1,AD,H,3335.0,-2904.0,-12.574,332.23342791665397,0.0,3335.0,6239.0,30.014999999999997,234.92450981671803,14.196049627183983,-265.22983935104185,-2.3870685541593764,-265.2298393531512
FCS,1,1,AD,H,1794.0,-5425.0,-15.622,332.03696210574026,-1.0,5425.0,7219.0,48.824999999999996,234.78558750954963,23.10618832077733,-347.2666752016387,-3.1254000768147483,-347.26667520386167
FCS,1,1,AD,H,8664.0,-4533.0,22.256,556.0319176548247,2.0,8664.0,13197.0,77.976,393.1739395298865,22.0360484989403,389.2882818116463,3.5035945363048167,389.28828180989717
FCS,1,1,AD,H,8603.0,-1911.0,19.398,467.8265393688945,0.0,8603.0,10514.0,77.42699999999999,330.8033184067806,26.006389662092523,443.4993298278173,3.991493968450355,443.49932982553105
FCS,1,1,AD,H,6241.0,-13943.0,-18.06,782.252039246822,1.0,13943.0,20184.0,125.487,553.1357215484331,25.20719500987632,-772.0376522702105,-6.948338870431894,-772.0376522744853
FCS,1,1,AD,H,6681.0,-2715.0,11.114,417.20681689076014,1.0,6681.0,9396.0,60.129,295.00976938071074,22.646707646410704,601.1337052366384,5.4102033471297455,601.1337052312297
FCS,1,1,AD,H,5450.0,-2561.0,4.96,432.2148003797819,-0.5,5450.0,8011.0,49.05,305.62201627773374,17.832484931476003,1098.7903225806451,9.889112903225806,1098.790322558492
FCS,1,1,AD,H,8659.0,-5098.0,-19.01,615.8248178765007,-1.0,8659.0,13757.0,77.931,435.45390474344424,19.884997942782512,-455.49710678590213,-4.099473961073119,-455.4971067882982
FCS,1,1,AD,H,3650.0,-3760.0,-1.106,350.46148614439943,0.5,3760.0,7410.0,33.839999999999996,247.81369339742008,15.172688597034341,-3399.638336347197,-30.59674502712477,-3399.6383366545783
FCS,1,1,AD,H,8161.0,-5275.0,3.606,630.4801703896079,1.0,8161.0,13436.0,73.449,445.81680388614166,18.305725420983144,2263.1724902939545,20.36855241264559,2263.1724902311935
LC,0,1,AW,H,3174.0,-4354.0,-2.174,371.02786833628056,-1.0,4354.0,7528.0,39.186,262.3563217097735,16.595750282002072,-2002.7598896044158,-18.02483900643974,-2002.7598896965392
LC,0,1,AW,H,13893.0,-8651.0,27.812,1026.079786426097,-1.0,13893.0,22544.0,125.03699999999999,725.5479750203375,19.14828581750307,499.5325758665324,4.495793182798791,499.5325758647363
LC,0,1,AW,H,4562.0,-5634.0,6.796,430.94705604543634,0.0,5634.0,10196.0,50.705999999999996,304.72558566210716,18.48876584405755,829.0170688640376,7.461153619776338,829.017068851839
LC,0,1,AW,H,3547.0,-5816.0,-0.048,453.9647714563839,-1.0,5816.0,9363.0,52.343999999999994,321.0015683166103,18.118291541378273,-121166.66666666666,-1090.4999999999998,-121166.66691909722
LC,0,1,AW,H,6009.0,-9949.0,-0.214,645.1151799444729,-1.5,9949.0,15958.0,89.541,456.16531838511656,21.81007542445517,-46490.654205607476,-418.4158878504673,-46490.65422733208
LC,0,1,AW,H,1241.0,-1007.0,0.968,129.67273040242517,-1.0,1241.0,2248.0,11.168999999999999,91.69246700252982,13.534372457944233,1282.0247933884298,11.538223140495866,1282.0247932559892
LC,0,1,AW,H,2878.0,-975.0,-0.77,185.9250314903008,-1.0,2878.0,3853.0,25.901999999999997,131.4688505591141,21.891117080284555,-3737.6623376623374,-33.638961038961035,-3737.6623381477484
LC,0,1,AW,H,4017.0,-2821.0,11.204,393.0721738455972,0.0,4017.0,6838.0,36.153,277.9439996219593,14.452551612784061,358.5326669046769,3.2267940021420918,358.53266690147683
LC,0,1,AW,H,3801.0,-3313.0,1.1,275.35062362715604,-1.0,3801.0,7114.0,34.208999999999996,194.7022931707068,19.52211213386913,3455.454545454545,31.099090909090904,3455.454545140413
LC,0,1,AW,H,1575.0,-853.0,1.716,142.3708335738223,-1.0,1575.0,2428.0,14.174999999999999,100.67138186323113,15.644962558870443,917.8321678321679,8.26048951048951,917.8321677786811
RBS,0,2,AD,H,949.0,-1459.0,0.464,119.96678190867273,1.0,1459.0,2408.0,13.130999999999998,84.8293250047501,17.199240945490274,3144.3965517241377,28.299568965517235,3144.396551046466
RBS,0,2,AD,H,1061.0,-1459.0,-3.024,162.9141782748387,0.0,1459.0,2520.0,13.130999999999998,115.19772020957255,12.665181197559514,-482.47354497354496,-4.342261904761904,-482.47354498949977
RBS,0,2,AD,H,556.0,-844.0,-1.126,95.26712851530219,1.5,844.0,1400.0,7.595999999999999,67.36403259734048,12.528941149424611,-749.5559502664299,-6.746003552397869,-749.5559503329979
RBS,0,2,AD,H,975.0,-1340.0,-0.054,128.71859242577253,0.0,1340.0,2315.0,12.059999999999999,91.01778956905112,14.722396647343341,-24814.814814814814,-223.33333333333331,-24814.814860768176
RBS,0,2,AD,H,714.0,-903.0,-0.758,99.07133639651168,-1.0,903.0,1617.0,8.126999999999999,70.05401378718702,12.89005370546177,-1191.292875989446,-10.721635883905012,-1191.2928761466085
