activity,fall_binary,distance_m,person_binary,floor,max,min,mean,std,median,peak,p2p,energy,rms,crest,shape,impulse,margin,PC1,PC2,PC3,PC4,PC5
FCS,1,1,AD,H,3335.0,-2904.0,-12.574,332.23342791665397,0.0,3335.0,6239.0,30.014999999999997,234.92450981671803,14.196049627183983,-265.22983935104185,-2.3870685541593764,-265.2298393531512,947.3631949208911,-164.5044636863804,321.0635514138238,-352.5632518410543,4.962243414130786
FCS,1,1,AD,H,1794.0,-5425.0,-15.622,332.03696210574026,-1.0,5425.0,7219.0,48.825,234.78558750954963,23.10618832077733,-347.2666752016387,-3.1254000768147483,-347.26667520386167,847.7064524867185,1807.824439881555,-2633.168568165569,849.5055214234445,6.8275462241376985
FCS,1,1,AD,H,8664.0,-4533.0,22.256,556.0319176548247,2.0,8664.0,13197.0,77.976,393.1739395298865,22.0360484989403,389.2882818116463,3.5035945363048167,389.2882818098972,1970.6296295891884,9818.03337104652,2837.109032868368,970.8274238051608,-131.96054552744792
FCS,1,1,AD,H,8603.0,-1911.0,19.398,467.8265393688945,0.0,8603.0,10514.0,77.42699999999999,330.8033184067806,26.006389662092523,443.4993298278173,3.991493968450355,443.49932982553105,2020.15262310348,6824.6595768296775,4571.621333841051,2427.6284737213196,-62.80073234054523
FCS,1,1,AD,H,6241.0,-13943.0,-18.06,782.252039246822,1.0,13943.0,20184.0,125.487,553.1357215484331,25.20719500987632,-772.0376522702105,-6.948338870431894,-772.0376522744853,416.5567989689266,19809.96516573968,-5604.529655225264,1576.1963279550869,-167.6146428672885
FCS,1,1,AD,H,6681.0,-2715.0,11.114,417.20681689076014,1.0,6681.0,9396.0,60.129,295.00976938071074,22.646707646410704,601.1337052366384,5.4102033471297455,601.1337052312297,2221.7555788468735,4756.58453666202,2720.9202849296644,1164.4121017998,-68.68235752828251
FCS,1,1,AD,H,5450.0,-2561.0,4.96,432.2148003797819,-0.5,5450.0,8011.0,49.05,305.62201627773374,17.832484931476003,1098.7903225806451,9.889112903225806,1098.790322558492,2905.215660567956,2690.8253617940572,1989.2297831861197,729.7309217578587,29.885290977643585
FCS,1,1,AD,H,8659.0,-5098.0,-19.01,615.8248178765007,-1.0,8659.0,13757.0,77.931,435.45390474344424,19.884997942782512,-455.49710678590213,-4.099473961073119,-455.4971067882982,781.5410204418431,10448.665366450849,2452.5000949432724,646.9749131466689,-95.83932040462365
FCS,1,1,AD,H,3650.0,-3760.0,-1.106,350.46148614439943,0.5,3760.0,7410.0,33.839999999999996,247.81369339742008,15.17268859703434,-3399.638336347197,-30.59674502712477,-3399.6383366545783,-3471.4409241605354,1354.4073571895206,-47.319243198627234,-603.536449278741,-45.38700374525989
FCS,1,1,AD,H,8161.0,-5275.0,3.606,630.4801703896079,1.0,8161.0,13436.0,73.449,445.81680388614166,18.305725420983144,2263.1724902939545,20.36855241264559,2263.1724902311935,4620.395414058175,9843.543420918817,1991.4787543018851,335.7701942275173,-61.07916472122399
LC,0,1,AW,H,3174.0,-4354.0,-2.174,371.02786833628056,-1.0,4354.0,7528.0,39.186,262.3563217097735,16.595750282002072,-2002.759889604416,-18.02483900643974,-2002.7598896965392,-1492.9994429807596,1719.5577282649883,-833.2159407808,-175.80021666533696,-8.296647307821877
LC,0,1,AW,H,13893.0,-8651.0,27.812,1026.079786426097,-1.0,13893.0,22544.0,125.037,725.5479750203375,19.14828581750307,499.5325758665324,4.495793182798791,499.5325758647363,2247.615152452079,22415.121417774077,3602.283857778267,835.5405402544149,-126.74420711611535
LC,0,1,AW,H,4562.0,-5634.0,6.796,430.94705604543634,0.0,5634.0,10196.0,50.706,304.72558566210716,18.48876584405755,829.0170688640376,7.461153619776338,829.017068851839,2545.177683754545,5182.059020856739,-755.1328022396361,-410.8894227901114,-100.60672682348562
LC,0,1,AW,H,3547.0,-5816.0,-0.048,453.9647714563839,-1.0,5816.0,9363.0,52.343999999999994,321.0015683166103,18.118291541378273,-121166.66666666666,-1090.4999999999998,-121166.66691909722,-169987.1353626727,5987.566601165523,-1487.3003142083587,136.70837896941993,-19.058726575283156
LC,0,1,AW,H,6009.0,-9949.0,-0.214,645.1151799444729,-1.5,9949.0,15958.0,89.541,456.16531838511656,21.81007542445517,-46490.65420560747,-418.4158878504673,-46490.65422733208,-64296.36279033651,14045.444352038969,-2795.553351248193,344.3470440983944,-149.48983581789247
LC,0,1,AW,H,1241.0,-1007.0,0.968,129.67273040242517,-1.0,1241.0,2248.0,11.169,91.69246700252982,13.534372457944231,1282.0247933884298,11.538223140495866,1282.0247932559892,3084.486920630671,-5505.057724240438,180.6203018582769,-157.8915703030126,1.9476186831124096
LC,0,1,AW,H,2878.0,-975.0,-0.77,185.9250314903008,-1.0,2878.0,3853.0,25.901999999999997,131.4688505591141,21.891117080284555,-3737.6623376623374,-33.638961038961035,-3737.662338147749,-3989.5590380839767,-2956.33260593205,1320.416468008894,549.4460779157179,-20.965415324792
LC,0,1,AW,H,4017.0,-2821.0,11.204,393.0721738455972,0.0,4017.0,6838.0,36.153,277.9439996219593,14.45255161278406,358.5326669046769,3.226794002142092,358.53266690147683,1839.0753485343082,785.7486938598631,840.5135365836375,-20.69970834932768,46.050382208283665
LC,0,1,AW,H,3801.0,-3313.0,1.1,275.35062362715604,-1.0,3801.0,7114.0,34.208999999999996,194.7022931707068,19.52211213386913,3455.454545454545,31.099090909090904,3455.454545140413,6220.240901731089,949.0021469582753,354.95226283287417,-382.8666935640516,-117.63495146625934
LC,0,1,AW,H,1575.0,-853.0,1.716,142.3708335738223,-1.0,1575.0,2428.0,14.175,100.67138186323112,15.644962558870445,917.832167832168,8.26048951048951,917.8321677786812,2573.017933379274,-5156.675295673161,512.3681850632565,69.4680440627327,8.61505988145025
RBS,0,2,AD,H,949.0,-1459.0,0.464,119.96678190867271,1.0,1459.0,2408.0,13.130999999999998,84.8293250047501,17.199240945490274,3144.3965517241377,28.299568965517235,3144.396551046466,5720.32871968781,-5261.806282022782,-354.357831059642,-75.66546333217343,-11.548912942406844
RBS,0,2,AD,H,1061.0,-1459.0,-3.024,162.9141782748387,0.0,1459.0,2520.0,13.130999999999998,115.19772020957257,12.665181197559514,-482.47354497354496,-4.342261904761904,-482.47354498949977,592.5644165013813,-5086.454821706014,-267.2313815309409,-131.64829418948094,31.577352656533527
RBS,0,2,AD,H,556.0,-844.0,-1.126,95.2671285153022,1.5,844.0,1400.0,7.595999999999999,67.36403259734048,12.528941149424613,-749.5559502664299,-6.746003552397869,-749.5559503329979,200.5455639850527,-6587.718977912002,-187.80845411436735,-94.08920575207695,15.737295071192015
RBS,0,2,AD,H,975.0,-1340.0,-0.054,128.71859242577253,0.0,1340.0,2315.0,12.06,91.01778956905112,14.72239664734334,-24814.814814814818,-223.33333333333331,-24814.814860768176,-33820.32200185369,-5036.865855867402,-214.57593011875386,-128.57899424536413,-2.050208834343948
RBS,0,2,AD,H,714.0,-903.0,-0.758,99.07133639651168,-1.0,903.0,1617.0,8.126999999999999,70.05401378718702,12.89005370546177,-1191.292875989446,-10.721635883905012,-1191.2928761466085,-421.5482586351327,-6316.228988916901,-114.5202979041743,-150.0045751247379,5.2173616006106975
RBS,0,2,AD,H,655.0,-864.0,-2.148,98.39203260508609,-1.0,864.0,1519.0,7.776,69.57367346978424,12.418490456382674,-402.2346368715084,-3.620111731843575,-402.2346368902344,693.1109496438479,-6451.998856493752,-130.191851771249,-134.91281035216215,10.903721995153347
RBS,0,2,AD,H,1089.0,-1060.0,-0.504,100.01674200533992,0.0,1089.0,2149.0,9.800999999999998,70.72251650416126,15.398207725483354,-2160.714285714286,-19.44642857142857,-2160.714286142999,-1785.9575528279613,-5634.967021931976,45.183819910348916,-250.37291731015543,-29.730667519643752
RBS,0,2,AD,H,24.0,-45.0,-0.492,5.2387809317915375,-1.0,45.0,69.0,0.4049999999999999,3.704377522020576,12.147789941089608,-91.46341463414636,-0.823170731707317,-91.46341465273647,1113.9944763154667,-8414.457709631515,5.194232057860148,-104.61379042505482,-17.11498257490754
RBS,0,2,AD,H,67.0,-110.0,-0.034,12.05335682793981,0.0,110.0,177.0,0.99,8.523010349097413,12.906237995082218,-3235.2941176470586,-29.117647058823525,-3235.2941271626296,-3330.542053296419,-8224.40872101141,-7.028070618530524,-103.56302860041824,-15.539345334396211
RBS,0,2,AD,H,443.0,-584.0,-0.13,55.3102118878436,-1.0,584.0,1027.0,5.255999999999999,39.110225894759004,14.93215614687256,-4492.307692307692,-40.43076923076922,-4492.307695763314,-5097.298883079734,-7062.676058051324,-76.32057766744033,-125.6704924586669,-13.398867502572546
RBS,0,2,AD,H,405.0,-407.0,0.286,46.4763629022026,-1.0,407.0,812.0,3.663,32.86375137303435,12.384465649711409,1423.076923076923,12.807692307692308,1423.0769225793438,3265.189241612297,-7456.33667597036,18.301789245579464,-166.920048819561,-12.493429179028603
RBS,0,2,AD,H,159.0,-182.0,-0.432,26.305842901178497,0.0,182.0,341.0,1.638,18.601039900251315,9.78439920434454,-421.2962962962963,-3.7916666666666665,-421.2962963938186,650.9962948367871,-8049.5271473141775,4.567998023789368,-124.09037912680962,-8.074024730765212
RBS,0,2,AD,H,918.0,-748.0,-0.464,70.74913132446456,-1.0,918.0,1666.0,8.261999999999999,50.02719052258647,18.350021066754444,-1978.4482758620688,-17.806034482758616,-1978.4482762884584,-1533.9365152093785,-6245.9265106602925,139.93915070465493,-145.2350470228252,-35.155842383520465
RBS,0,2,AD,H,89.0,-77.0,-0.476,19.904416484569005,0.0,89.0,166.0,0.8009999999999999,14.074547871800045,6.323471333549663,-186.9747899159664,-1.6827731092436975,-186.9747899552468,980.1564280962293,-8286.252875924176,29.11044537575039,-114.91855264054684,-5.41221962870968
RBS,0,2,AD,H,27.0,-27.0,-0.542,7.259037349848325,-0.5,27.0,54.0,0.243,5.132914534964175,5.260169405915979,-49.81549815498155,-0.4483394833948339,-49.815498164172595,1172.6738144339358,-8439.164628600169,20.5652733873287,-112.26725421809383,-14.003096281436996
