4,4,-8,-12,12,6,-9,-15,-9,-4,-2,4,-21,-3,-4,-10,14,6,-16,-7,9,2,5,-1,-4,16,-11,-12,3,7,14,0,-16,-9,-11,-1,12,6,-3,5,3,12,8,-17,-9,2,3,7,2,-15,-3,13,5,-1,-3,-8,7,-5,8,-11,-17,-15,10,10,1,-1,-3,6,0,0,-1,6,-9,-9,5,9,9,-3,-8,2,7,1,6,-4,-3,4,4,6,-8,12,16,-11,-24,-9,21,5,-3,-2,-7,10,3,4,0,-19,-5,11,-7,-10,-10,-3,10,13,-5,-14,4,-2,2,0,-5,2,9,-8,7,-1,-23,7,11,16,-34,-35,-17,10,52,29,-2,-22,13,31,-10,-28,-30,-1,57,8,-34,-15,15,34,15,-30,-37,-7,33,20,-11,-20,8,22,0,-4,3,5,9,-7,-11,11,10,-4,-7,-6,6,9,4,-7,-8,13,18,0,-26,-6,9,2,0,-24,-22,3,12,14,9,-17,-11,-4,2,-6,11,-13,-13,-5,-6,1,18,3,-6,-11,-1,4,27,5,-13,-16,-10,17,17,-13,-23,8,29,13,-13,-7,57,30,-1,-271,-22,171,-44,-70,22,5,14,199,0,-187,-2,27,35,10,-49,-37,37,54,-11,-22,-27,19,38,5,-42,-16,32,19,-24,-10,-11,8,11,-9,-29,9,27,-6,-14,-13,-4,8,27,-5,-8,10,2,1,2,-6,-18,-40,-35,-2,31,27,14,-11,11,345,-913,300,19,192,-171,-134,-212,-72,375,425,-262,-339,20,96,214,-32,-327,-90,315,187,-136,-140,-22,30,145,-8,-200,-14,101,18,-13,-29,-16,53,58,-22,-33,5,18,4,-7,-15,-3,28,6,-21,-18,9,14,-5,-9,-17,0,32,-2,-30,-8,24,13,-14,-10,8,13,-49,18,26,-30,-64,0,23,31,16,-2,-14,-5,2,-14,-29,-41,16,115,-1,-57,-7,32,18,-28,-48,-4,23,23,-25,-68,10,70,51,-37,-28,13,60,23,-38,-31,-1,43,11,-57,-30,28,262,196,-46,-881,136,404,-397,-339,318,346,65,28,-80,-182,-19,7,-53,84,41,-2,-23,7,-16,7,23,-2,-11,-7,-2,-3,7,-13,-12,29,20,3,2,-20,-13,0,36,-34,-39,12,15,-2,-15,4,18,9,-20,-25,4,19,5,-22,-30,20,21,-3,2,3,-6,-8,5,-1,-20,-8,-15,1,33,18,-28,-26,33,14,-23,-41,-6,31,26,-10,-26,-30,25,56,-2,-39,-11,15,1,-14,-7,18,3,-3,3,-4,2,8,11,-16,-24,6,28,4,-37
-22,42,16,-19,-16,13,26,-8,-26,-18,12,30,3,-30,-6,47,27,-26,-29,17,32,0,-31,-7,22,9,-1,-9,-8,-5,0,10,5,-8,-10,-19,-4,3,7,-3,-8,-16,-1,10,-1,-9,1,-6,-6,12,-15,-29,-4,14,27,-6,-16,-9,11,11,5,-20,-12,4,15,-6,-14,-3,13,16,-8,-20,-13,14,5,7,-9,-9,0,19,-4,-19,-24,5,19,1,-30,-18,1,28,23,-16,-7,-11,-19,54,3,-32,-18,11,42,-15,-35,-8,24,47,7,-46,-20,17,26,2,-15,-14,-8,11,22,9,-12,-17,10,18,-1,-29,-4,2,18,-18,-26,-9,7,-3,1,-8,-15,1,7,10,-16,-14,-1,28,6,-14,-4,3,-6,2,2,8,14,4,2,0,10,5,-16,13,10,1,-25,-1,13,-3,-14,-32,-1,17,0,-23,-10,-3,17,-6,0,0,9,-11,-9,-15,-25,14,24,-13,-2,11,15,7,-12,-22,-14,-8,24,-7,-4,-25,-14,16,53,2,19,146,-52,-23,-8,-10,-25,25,2,12,-10,-13,4,-20,-23,-3,28,0,-24,14,3,0,-11,18,-3,-25,-34,13,74,45,-25,-65,-3,47,21,3,-77,-44,38,48,1,-60,-27,17,48,-7,-27,-24,44,30,-32,-55,10,73,2,-56,-48,42,128,22,-118,-127,18,146,30,-98,-122,-8,36,40,-33,-31,8,45,8,-15,-6,7,-16,-28,-25,32,81,11,-111,-34,29,75,18,-15,-21,20,49,-7,-80,-17,12,37,103,-1,-277,160,140,20,-16,-100,-22,38,20,-132,-5,15,30,21,6,-89,-3,65,19,-6,-28,-12,10,45,-9,-65,-2,71,22,-19,-55,-32,58,116,-14,-71,-29,32,70,12,-70,-16,12,8,-9,-19,7,37,8,-13,-22,-9,70,38,-19,-43,21,70,-4,-27,-15,45,49,-10,-18,-16,11,22,13,-11,-2,-13,15,22,-23,-23,9,31,20,5,-14,-2,24,26,-9,-6,-13,-3,45,26,-21,-28,13,24,17,-28,-12,-10,7,-2,-9,6,15,-9,-29,-16,22,24,-14,-21,-5,-1,6,6,-13,-25,3,2,8,3,-11,8,18,-19,-11,16,10,-6,0,-8,15,4,-24,-9,16,26,-6,-20,-12,-14,5,27,-20,-32,5,14,-5,-19,-22,6,21,3,-24,-2,52,23,-30,-39,-4,34,19,-16,-16,7,21,-3,-33,-10,23,53,-19,-50,-17,55,58,0,-34,-16,29,18,-39,-24,32,50,-6,-65,-29,40,83,-22,-131,-9,62,35,-20,-88,-13,64,27,-22
-96,3,74,8,-47,-24,27,62,3,-41,-12,25,8,-6,-15,-4,26,2,-20,-23,20,61,-4,-40,-18,38,24,-11,-38,-21,23,22,-8,-14,-5,9,24,-12,-26,-5,23,18,-11,-15,3,26,5,-19,-25,16,37,5,-16,-15,3,19,25,-10,-33,-10,23,29,1,-43,-12,29,25,-7,-23,-9,12,13,-11,-24,7,13,4,-3,-15,3,23,5,-14,-27,-8,20,17,-14,-24,-9,25,17,-24,-6,8,5,-4,-14,-21,-2,30,13,-14,-25,-11,22,21,-5,-19,-2,-3,-13,-4,16,6,-14,-26,-25,-8,44,21,-28,-27,-25,13,39,3,-15,-18,-11,8,13,5,-8,-26,-18,0,17,8,-14,-22,8,6,-10,7,9,-1,-15,-12,9,21,9,-7,-19,-13,7,27,11,-17,-11,10,-1,-10,-12,15,5,1,-26,-10,9,8,18,-12,-6,0,11,16,1,-12,-7,16,6,-19,-15,5,18,5,1,-17,-16,12,18,5,8,-11,-14,-11,9,12,10,-30,-26,16,38,6,-11,-6,-1,17,-7,-11,0,14,4,0,-18,-9,-2,23,14,-19,-20,4,20,24,0,-28,-12,19,11,-7,-12,20,11,10,-27,-29,23,-10,140,-73,-40,-46,22,31,34,19,3,-18,-14,0,-7,-8,-8,20,9,1,-18,-17,-2,20,11,-5,-19,2,22,22,-14,-13,-15,13,22,-6,-14,-3,15,25,-4,-27,-28,7,9,7,9,-23,-5,11,1,-29,-13,6,7,-2,-3,5,64,1,-23,16,-7,-14,-41,-11,16,14,8,-4,-20,4,47,69,-820,21,253,204,-162,-199,-268,13,602,348,-450,-403,20,212,269,-76,-425,-40,333,202,-97,-153,-53,98,182,-19,-175,6,96,-1,-4,-22,-19,20,20,-30,-15,20,4,-14,12,2,-1,3,-35,-20,24,18,-11,-6,-31,-10,18,4,-16,-9,-2,9,15,0,-18,3,-6,8,-8,-32,-6,14,21,4,-14,-2,12,13,12,-27,-9,14,11,-4,-6,1,10,32,-10,-438,-31,290,227,-25,-111,-194,11,417,140,-360,-202,33,109,115,-71,-257,6,253,33,-82,-31,5,34,15,-2,-133,8,59,-11,-31,-225,45,240,-1,-70,31,-8,-97,-16,40,56,17,-26,-77,3,34,13,-7,-25,-27,5,54,18,-21,-35,6,19,27,-4,-28,5,16,9,-11,-15,-6,13,6,-4,-14,-2,5,10,-6,-6,0,7,7,-4,-6,10,3,-18,-5,-2,-11,-7,-8,15,15,-21,-36,1,25,-1,-19,-24,16,22,9,-29,-8,9
4,4,-19,6,8,6,3,-10,-12,19,-1,0,-22,-11,3,9,-11,-20,1,8,14,-14,-12,0,12,7,-1,-5,-4,12,8,8,-3,-6,-7,7,-3,-7,-14,4,12,-5,-12,15,10,-3,-10,-10,-1,9,3,-22,-5,4,5,-13,-7,-19,13,15,-5,-9,-10,5,-2,-9,10,6,-11,2,3,2,2,-22,-10,1,2,-13,1,-16,13,11,-3,1,-6,-21,8,26,-6,-19,-16,-2,8,-8,0,4,-4,-6,3,-1,-14,-11,-6,9,-5,-17,-11,2,-5,7,0,-9,10,2,-13,1,2,0,-14,-15,-3,-3,4,-18,-18,5,-3,-8,-2,0,-16,1,3,-7,10,-3,-20,2,12,-8,-6,9,-14,-1,0,-17,5,9,-6,-18,1,-15,16,2,-7,6,20,5,0,-19,-16,13,12,16,-22,-9,-1,6,3,-9,10,-2,4,-5,-17,6,11,-3,-15,-3,-1,20,7,-15,-8,-6,19,8,6,-13,-17,4,-1,-12,10,-7,-5,4,-6,-21,-10,17,-4,4,5,-2,-3,0,1,-8,6,0,-10,-14,-9,17,3,-5,54,-219,188,-2,-61,3,7,-26,11,82,12,-74,-24,17,62,19,-60,-119,13,89,13,-39,-64,0,29,29,-22,-63,-9,58,25,-14,-6,-8,10,13,-3,-13,11,15,50,-15,-7,0,22,-5,-7,-1,-2,9,10,9,-7,12,-9,3,-9,0,-14,11,30,-9,-28,-6,-31,4,106,19,-55,-7,46,78,57,-14,-79,1,37,30,-18,-49,-24,42,44,-9,-21,55,124,-192,189,68,-1,-1,7,-23,5,9,10,-9,-11,-20,45,16,-14,-23,-8,0,25,20,-23,-22,2,14,20,11,-7,-6,6,7,-3,5,-10,3,18,21,-26,-31,0,24,19,6,-13,-16,1,11,18,16,-5,-4,-22,-8,3,20,-2,-9,-75,8,33,1,-16,15,-2,7,6,-14,-9,32,36,-22,-18,3,5,14,-2,-25,-3,8,19,1,-8,-12,18,20,12,-19,-18,19,9,-12,-6,11,-3,-4,-25,9,24,-4,-44,-13,18,37,10,-47,-26,23,35,12,-62,-43,13,60,8,-39,-54,23,78,-8,-87,-21,19,65,-9,-73,-3,37,31,-26,-71,-27,69,47,-39,-125,-5,88,67,-31,-73,0,53,63,-1,-92,-32,28,65,8,-24,-32,-12,25,31,2,-35,-17,16,10,-15,-31,9,47,11,-23,-31,6,32,58,-11,-93,-26,70,112,-7,-134,-43,110,73,-34,-35,-9,11,23,-1,-18,-29,8,41,1,-105,-27,50,52,-10
-36,-14,32,8,-35,-25,50,64,-8,-57,-19,54,62,-5,-69,-44,12,37,30,-22,-37,-4,33,-3,-50,6,68,23,-47,-92,3,130,48,-25,-73,-26,29,101,2,-101,-19,19,56,-11,-58,-13,45,70,-46,-119,3,142,19,-111,-66,32,41,-43,-32,28,34,-1,-25,-26,1,68,35,-20,-46,-27,11,68,2,-40,-17,6,13,4,-24,-23,28,13,-29,-30,12,59,11,-103,-34,69,65,-14,-81,-10,33,13,-19,3,-20,-22,26,51,-9,-46,15,60,1,-22,2,0,15,-13,-13,19,37,-3,-45,7,52,12,-7,-25,-9,23,6,-8,-22,7,16,-14,-24,31,28,-3,-30,-31,17,81,15,-123,-67,26,94,59,-14,-127,-31,57,179,3,-149,-79,28,98,27,-37,-58,-25,-1,36,17,-14,-18,-21,1,25,16,3,-30,-25,-3,32,48,-11,-35,-20,14,27,2,-4,-41,-11,53,11,-12,-11,6,11,-7,-29,-26,22,38,-12,-24,-12,31,72,0,-93,-55,22,121,48,-66,-93,13,34,22,-4,-65,-9,52,44,-7,-34,-8,29,11,-11,-21,-9,46,32,-12,-83,5,-9,310,-263,15,-33,35,-15,0,74,140,-87,-101,-10,0,27,28,-23,-60,-17,36,-15,-17,6,63,56,-2,-89,-31,86,34,-45,-63,1,26,11,-15,-49,-10,55,47,0,-34,-31,12,16,1,-13,222,-56,-44,-60,181,-22,-75,-128,-20,247,311,-65,-225,-37,18,155,3,-176,-118,79,136,-18,-67,-38,22,90,24,-59,-24,14,1,-5,-8,-14,-4,9,-2,9,9,-8,-10,-14,-12,47,16,-12,-37,-3,14,28,7,-19,-8,11,20,14,-2,-5,3,11,-4,-14,-14,-6,14,7,-10,-8,-3,10,5,-21,-1,-3,1,10,-2,-1,-1,7,-1,5,-15,-5,7,10,16,-9,-14,-10,14,-3,-11,-4,-29,4,49,62,-35,-52,-36,19,-10,-56,-214,-21,104,216,164,84,-17,-127,-80,-17,16,25,-2,17,354,-535,-7,286,45,-119,-20,-212,-28,322,198,-256,-161,23,57,195,-17,-271,-20,293,43,-95,-91,-55,29,97,-20,-123,13,56,14,0,-14,-11,34,26,22,-106,539,-300,-7,54,19,-36,5,19,54,-36,-39,15,13,13,-7,-26,-7,35,16,-27,-18,16,4,4,-22,-11,5,23,3,-20,-17,8,9,2,-22,-13,6,19,1,-10,-3,15,17,-4,-28,-3,18,11,-8,-11,-4,7,9,7,-16,-16,10,3,-5,-6,12,7,-5,-3,-4,16,17,-23,-4,0
15,-6,-17,-1,8,1,-14,-10,5,18,10,-14,-8,0,8,18,-11,-6,2,-2,4,3,-19,-2,4,1,-17,-8,3,7,10,-4,-5,2,-5,10,-8,-6,-1,-10,12,20,11,-6,-8,0,2,-8,-22,-12,-7,-14,3,0,8,2,14,8,-1,-4,-24,5,14,7,-14,-9,0,13,-7,-5,-4,13,-18,5,4,-13,-21,9,20,16,15,-3,-27,-15,3,35,0,0,-34,5,31,-5,-9,-7,-1,1,16,-12,-17,-1,11,13,3,-4,-21,-7,4,2,-16,-9,2,2,4,2,-21,1,11,-12,4,8,-13,-7,10,-2,7,-4,6,3,-4,-5,1,6,-5,-3,5,9,10,-9,-7,-12,-6,12,14,3,-19,-1,8,12,4,-4,-12,-18,-3,4,-8,-2,5,-16,-5,22,4,9,14,4,-21,-26,-29,11,8,5,-13,-26,-12,13,1,-13,-3,-3,27,-1,-10,-22,14,19,-5,-8,-22,-2,76,18,20,-84,-235,176,-37,-16,-2,23,55,91,-66,-80,17,21,15,-1,-34,-33,20,25,-14,-13,-10,19,21,-5,-27,-9,43,9,-5,-19,-6,1,4,-14,-21,-6,6,12,1,-10,-12,-17,13,18,3,-29,-23,-5,10,3,-9,-5,-3,-3,-2,5,6,10,-4,-9,-7,4,11,4,-11,-8,-5,9,11,-6,-7,-9,0,18,-1,0,-2,-16,-11,9,3,0,-32,-30,-13,19,17,18,13,-3,-4,-8,0,-8,-4,-2,-6,14,38,-354,-166,131,98,8,2,-28,-95,-78,69,35,13,-40,-36,1,16,60,18,-47,-21,17,13,26,-12,-70,8,35,14,-29,-45,-4,34,22,-9,-16,-13,11,8,-7,-15,8,5,-1,-13,-13,9,9,4,12,-15,-12,-1,-4,-5,-2,-7,-6,-17,-2,-1,2,-14,-3,8,5,-9,-5,3,9,8,-26,-15,1,22,-12,-15,-12,2,14,2,-15,-18,9,2,3,-4,-15,-6,8,-5,-13,-9,-24,-1,17,4,-11,-11,-17,-1,-5,-1,3,6,-11,-18,1,13,12,2,-15,-18,11,7,-4,-5,13,12,-6,-21,-24,14,30,18,-15,-21,-10,9,18,20,-16,-29,5,16,0,8,1,1,-16,-4,-3,-6,12,1,-11,-1,2,5,15,-6,-13,-6,4,7,-5,3,-22,-10,2,-16,-8,0,-3,-8,-18,-4,-11,0,-4,9,-4,-24,3,12,3,-17,-2,12,-7,-7,-1,3,-3,-7,-7,-9,-4,-10,3,2,-3,-4,-8,-8,22,18,-2,-14,-1,-7,9,-8,-9,8,0,8,7,-7,-16
-6,7,-6,-11,-3,24,15,-15,-13,30,26,13,-29,-17,20,19,-12,-9,-8,7,5,-31,-6,63,22,-21,-50,2,67,16,-27,-30,13,66,14,-107,-25,67,58,-7,-58,-35,55,71,-6,-71,-21,35,61,-26,-68,-11,77,43,-41,-91,18,72,18,-63,-53,17,133,34,-107,-123,21,137,27,-118,-28,43,64,-13,-64,-16,74,66,-29,-140,-4,86,61,-32,-67,8,76,41,-22,-53,14,39,6,-26,-30,6,25,2,-5,-7,1,15,6,-24,-7,26,31,-17,-35,-19,17,52,18,-25,-49,-2,55,16,-14,-19,-3,2,9,-4,-12,4,16,-17,-8,8,23,15,-8,-31,10,37,20,-31,-29,-9,24,24,-6,-18,-9,13,23,-10,-10,20,12,-17,-17,40,16,8,-11,-10,-18,1,9,-3,10,0,-2,17,7,-9,-27,-2,3,20,13,-31,-11,5,6,2,10,-6,-12,-6,-1,17,22,-4,-13,-12,-2,26,30,-12,-62,-52,42,-24,-25,-36,52,8,48,4,37,-29,-46,-59,-3,82,38,-21,-38,0,31,38,-9,-61,-12,25,201,354,-1127,13,426,392,-348,-387,-300,106,776,337,-740,-392,272,322,211,-247,-553,1,572,188,-306,-235,-26,101,239,-19,-264,-3,163,-12,-51,-13,12,37,13,-92,-32,79,18,-26,-10,21,33,8,-21,-33,9,20,-2,0,-5,-2,5,56,-225,73,24,-15,-34,11,8,-25,66,38,-35,-28,1,-4,30,13,-58,-35,23,30,0,0,-28,-16,11,-10,-16,-10,5,2,3,5,-23,-16,7,10,-6,-7,-8,-2,1,4,-2,6,0,-6,-4,-10,7,-1,8,-8,-7,-2,-7,1,-17,6,5,-1,-2,-6,-2,3,-5,0,-12,16,-33,-38,-14,35,65,27,23,12,245,-222,-221,-151,43,18,50,-12,-65,166,359,-79,-372,-27,107,169,16,-264,-253,178,262,-28,-152,-85,21,146,28,-174,-87,67,46,-18,-19,-19,16,30,2,-29,-19,16,5,10,-9,-24,-4,19,-8,-15,-5,8,-2,1,-14,-5,15,10,-2,-11,-8,14,10,-4,-26,-7,14,4,-10,-13,-16,16,19,-8,-22,-4,20,10,-7,-21,8,20,1,-25,-6,4,13,-7,-8,-22,6,8,-7,2,-16,-12,12,5,7,7,-22,-23,-3,17,22,-19,-20,-1,15,3,-1,-1,7,8,-18,-13,11,5,-2,-9,-15,16,11,-5,4,3,5,16,-8,106,-48,-22,8,22,-6,-28,-3,26,5,-15,8,-20,5,16,-13,-27,2,12,0,-1,-17,1
4,5,-12,-9,17,-5,9,19,-2,-7,-15,-36,-14,-3,5,-3,-5,-10,2,0,7,-2,-16,3,-5,-3,-6,-1,-14,-1,1,13,7,10,-15,-21,-21,-28,17,22,0,7,5,4,-6,5,0,-11,-8,4,6,-5,1,-5,-7,5,8,2,-5,-5,-12,8,3,0,-1,-8,9,20,5,-7,-17,-27,-4,16,16,-3,-20,-8,-9,18,11,-11,-5,-12,8,7,4,-17,-16,-5,11,5,3,-7,-10,8,13,8,-7,-22,-10,12,12,-6,-2,-13,-16,8,-2,-1,2,-10,2,10,-3,8,-6,-13,-4,0,4,7,2,-13,3,10,-5,2,-13,-17,6,3,4,-12,-5,-12,1,-2,1,3,-4,-8,-4,8,9,0,-2,3,0,9,-1,-1,-2,6,2,0,3,1,-4,-11,1,-2,1,-4,7,-5,0,4,4,-9,-6,-6,9,9,0,-3,2,0,-3,11,-1,2,-6,-4,6,1,-15,10,6,-3,5,4,7,6,-11,-2,11,4,-1,-12,-10,-9,-6,3,1,-3,-3,7,2,-8,-10,-5,-2,5,-9,-1,-15,-2,4,1,-4,-2,0,0,8,5,-6,-13,4,-10,1,2,-14,-3,-6,1,-1,-3,2,-8,-9,5,6,-3,-12,-15,-12,10,13,-1,-3,-13,4,14,-4,-6,0,-14,4,14,3,-2,7,-11,-2,-4,5,-11,2,-11,-2,-3,11,-4,-23,-2,-2,273,-67,-44,-5,-20,-14,-3,34,23,-7,-14,-1,-20,-34,0,23,20,1,-22,-5,11,24,8,-23,-22,3,22,15,-13,-13,-6,17,10,-6,-15,-7,11,1,-6,-17,5,15,13,-9,-18,3,14,6,2,-17,1,-5,-9,-6,4,1,8,4,-13,-15,-8,7,3,-17,-10,-9,10,9,10,-4,-1,-3,-5,4,-3,-1,-5,-17,-16,24,14,-14,-16,0,35,39,11,-46,-36,1,28,16,-24,-35,5,45,9,-20,-4,-9,26,7,-5,266,-138,95,-324,44,61,3,35,6,-264,-29,235,31,-45,-40,-29,22,159,-10,-173,-11,84,12,-16,-8,-35,34,76,-24,-81,14,17,8,4,-28,-11,22,16,-12,-3,-1,5,14,7,-27,7,-16,6,11,-7,-13,7,5,-3,-10,-8,7,11,-8,-5,-3,1,7,1,2,3,-4,-5,6,-8,-11,1,-1,3,5,5,4,-11,-7,5,7,3,2,-9,-11,9,-1,5,-2,-12,-5,-1,-5,-1,-3,-1,-1,-6,-7,-1,2,-11,4,0,-5,6,-9,-15,10,-2,2,-10,2,-5,8,0,-5,0,-1,9
7,-10,-14,-1,8,7,-16,-6,12,10,-10,-2,-2,11,8,-3,-8,1,12,12,-12,-9,-4,4,8,-3,-16,-8,-7,-4,12,2,-13,-9,4,-2,2,-7,-2,-13,4,6,4,0,0,3,4,3,1,-11,7,12,-9,-1,3,-6,-13,-6,6,3,7,-21,-11,11,5,14,-3,-23,-4,-4,19,11,-13,-8,9,-2,-4,10,-6,-4,21,-8,-7,-7,-1,2,14,-1,-33,-3,20,27,-14,-17,0,20,13,-10,-28,-13,14,5,-1,-18,-2,12,-3,-12,2,14,-1,-1,0,4,4,-9,-4,-5,0,0,-9,-21,16,21,-8,-6,-21,-9,8,4,-11,-2,-2,9,6,-14,-20,1,-5,8,-3,-8,9,-8,-9,-2,2,-9,10,2,0,-8,2,-3,-10,-4,-13,14,-6,-5,-1,-5,4,-6,-12,8,-4,2,1,-5,-1,5,-3,-4,2,-3,-10,-6,-3,-6,0,-1,-7,-2,-4,0,8,-11,-4,-11,-6,-5,-5,-8,7,-6,8,5,1,2,-8,-1,-14,-7,-6,-1,3,-14,6,5,4,13,-4,-1,-9,-10,-1,6,10,3,-8,-10,-1,-6,8,9,4,-21,-18,7,-7,6,14,-18,-10,-2,6,17,-3,-18,-12,24,13,4,-2,3,1,-4,-1,-17,-6,6,8,-1,-14,-7,6,14,-8,-15,7,-5,-24,-1,11,0,7,-23,-9,3,8,20,-1,-20,-9,-7,24,1,-23,-19,-6,21,5,-7,-16,-2,23,9,-1,-4,-1,6,16,-13,2,-16,12,15,-12,-9,18,23,-1,-30,7,17,21,0,8,7,-7,-5,-48,-19,26,13,-21,-1,-20,-61,-38,-4,32,40,4,15,-1,-16,6,-5,2,-6,-15,-8,-2,14,7,2,-26,-1,26,7,9,-17,-6,7,10,4,-16,6,19,20,5,-9,-22,-5,11,15,6,1,-7,4,5,0,0,-11,-13,3,7,14,-27,-2,25,14,17,13,-9,52,11,9,-6,-17,-11,8,18,-19,-25,9,14,40,13,-16,-22,-1,17,19,224,-859,344,-209,503,-115,-230,-281,-29,344,583,-231,-521,17,217,243,-6,-409,-251,288,335,-56,-259,-133,51,212,36,-200,-105,131,53,-12,-23,-10,22,58,-20,-44,2,27,-2,10,3,-6,6,14,-18,-11,23,14,8,-19,-27,7,56,21,-25,-19,-5,22,8,-9,-17,8,15,5,-18,-23,3,14,30,3,-14,-10,6,22,-13,-8,-8,-10,1,13,-12,15,-1,1,-11,-17,-1,9,12,2,-1,7,-12,5,1,-5,-7,8,-18,-14,-3,15
71,432,-1357,439,84,515,-192,-185,-410,-201,532,677,-465,-647,180,327,313,12,-606,-381,514,440,-218,-306,-20,36,284,98,-304,-212,135,69,-12,-25,-90,1,136,17,-42,-36,9,16,28,9,-31,-5,5,-12,-20,21,8,2,-13,-16,0,28,10,-30,-17,10,26,14,-80,-52,25,92,54,10,-38,-23,24,27,1,-30,-26,7,29,14,-26,-20,-8,18,9,0,-11,-5,15,7,-16,-6,-4,10,10,-12,-10,-9,14,-3,-10,-8,-16,-5,-3,5,-3,6,8,8,-7,4,17,4,-9,-1,-8,13,-12,-25,5,8,0,-9,3,-15,13,-2,-6,-14,2,5,4,-8,0,0,3,3,-17,-5,-3,-6,4,9,-4,0,-7,-8,13,13,-2,0,-12,-17,-3,4,-10,-7,-9,0,-5,-14,-7,10,-10,3,-3,11,-7,-4,6,15,-14,-26,-10,8,15,15,-12,-20,14,17,-17,-8,-7,12,15,0,-9,-19,12,18,9,-17,-1,9,1,-11,-8,-5,8,4,-12,-5,-1,-3,2,-7,-2,-3,0,1,11,-13,-22,-11,11,11,-1,-8,-11,-2,14,13,0,-3,-13,-11,-2,3,-10,-9,9,8,-2,-7,-15,-1,5,-1,-3,-3,-1,0,8,3,2,0,-1,-6,-1,-83,-42,474,0,-20,-246,-21,-27,82,122,23,-2,12,-14,-18,23,-11,-3,-10,-3,8,13,1,-23,-8,0,13,-6,-10,-10,9,19,-9,-5,0,10,0,-17,-8,2,13,9,-11,-7,-2,6,12,-23,-28,-7,13,-5,-9,-20,14,22,-4,-17,-17,1,21,10,-9,-14,9,19,-8,-16,-10,4,14,-9,-12,-3,11,5,-9,3,9,-17,-16,-1,-12,2,3,-4,-16,0,13,31,20,-19,-18,-2,22,16,-25,-19,-6,15,17,17,-23,-155,81,89,30,-6,-167,-11,47,95,-29,-82,-103,32,189,17,-191,-83,66,75,16,-48,-87,7,89,9,-43,-18,-1,13,22,-14,-21,13,13,-12,-8,-6,-4,0,-1,-24,-7,6,8,-7,-6,-4,17,17,-13,-7,-3,7,17,3,-8,1,2,7,6,-13,-7,-3,10,1,-2,-8,8,-5,6,-3,-9,-4,8,1,-10,-6,2,9,-6,0,-14,0,7,4,6,-1,-10,-4,4,0,4,4,-6,-2,6,-6,5,10,-10,-7,9,2,13,-14,-18,-1,8,13,-7,-15,-10,22,15,-2,6,-18,-29,10,28,-3,-22,-22,-24,31,76,4,-49,-26,13,32,11,-36,-36,19,41,5,-37,-21,5,22,6,-35,-13,26,19,1,-30
