-67,-25,110,90,0,-160,-92,85,110,7,-44,-16,20,-22,-52,-19,30,38,60,-5,-64,-61,-12,89,83,13,-83,-112,54,96,56,-33,-84,-58,39,53,-23,3,-27,11,44,56,-15,-109,-23,16,113,36,-106,-140,-6,162,78,16,7,-102,17,25,-6,13,-46,21,-31,-72,-54,-7,43,1,22,57,184,81,-20,-55,-115,-187,-57,54,150,-5,-125,-92,82,186,70,-55,-20,-41,-63,-32,54,148,43,-109,-194,-55,129,167,19,-157,-57,43,124,45,-73,-66,-61,3,62,52,8,4,13,-19,-61,-55,44,50,-89,108,79,4,-112,-169,35,253,102,-125,-215,-132,138,275,46,-129,-185,-16,113,74,4,22,-34,-52,-56,-1,100,67,5,-120,-94,70,79,-2,-72,-6,39,54,13,-75,-29,32,45,62,-43,-56,-27,37,21,0,-1,741,-793,396,-111,66,-9,71,-26,94,-53,-164,175,39,-90,-77,-76,91,38,65,23,-87,-84,51,110,51,-62,-49,-18,11,-6,35,20,-28,-6,-20,-3,44,4,-7,15,-6,-56,12,4,41,27,-19,-54,-28,55,27,6,-7,-43,-17,13,54,2,-52,-43,11,82,13,-15,-47,-47,-19,100,64,-98,-4,8,37,25,-33,-12,-30,-43,-21,52,73,-3,-17,-6,-5,21,43,46,-16,-118,-149,10,37,-122,160,5,-12,30,3,42,123,-82,-107,61,-74,0,55,-9,-31,-37,-41,106,118,-49,-43,17,-45,16,16,-58,-69,-5,39,119,85,-47,-55,157,11282,-16758,15316,-4771,-362,-4923,-429,1294,4340,404,-4684,-1202,2687,1398,-1003,-677,-1669,42,604,-1268,-1645,256,4688,-2897,1738,-1766,-764,1091,1148,-910,-394,-661,1089,1826,-1190,-1866,41,-145,2048,2531,1359,-3062,-3386,-2129,1006,4187,2623,-2263,-2174,-70,1512,374,-483,-498,-654,388,667,187,-871,-458,814,996,88,-573,-716,68,551,145,-553,-365,198,467,14,-374,-186,232,375,97,-238,-220,27,217,-10,-182,-75,128,107,-70,-161,-40,149,170,-14,-164,-111,87,126,12,-117,-63,29,107,40,-62,-69,33,74,12,-57,-62,-4,48,21,-4,5,7,-13,-35,-11,21,19,-6,-18,-6,16,16,26,-28,-5,22,16,-40,-45,17,28,29,-12,-20,-7,17,0,18,-1,-23,1,13,6,194,-105,-9,66,13,-3,-56,13,17,-31,114,-72,-86,44,-7,86,-62,-44,67,27,-46,12,-45,26,27,13,-19,-9,-18,14,35,-7,-33,-2,2,14,0,10,-32,1,23,25,-6,-50,-13,41,22,10,-44,-42,9,40,35,4,-36,-22
-8,-10,-36,-39,-33,34,31,25,3,4,-8,-13,-4,-13,-5,1,1,14,2,2,10,2,-14,-4,7,13,-6,0,-7,-15,-12,13,8,13,8,-1,5,4,-7,-19,-20,-11,-4,15,26,14,19,-5,-23,-25,-13,13,5,-5,2,13,-2,3,-12,-10,-17,40,-4,-33,-7,12,42,-5,-21,-5,-5,-21,22,28,8,-28,-16,-4,3,6,12,3,-12,5,10,18,-11,-18,-18,4,-3,0,0,13,15,19,-2,-19,-22,-10,9,17,15,5,-13,-15,2,5,0,7,4,-3,-7,-9,8,0,1,2,3,2,-10,7,-5,4,12,-51,18,3,10,31,-70,-8,51,1,25,-29,-34,-10,-8,42,31,-13,-14,-5,19,-18,-6,-1,4,11,-7,2,3,2,-7,-5,6,1,0,-9,1,13,2,-3,-9,-10,-7,20,15,3,-17,-11,4,8,3,-2,-10,-6,14,14,10,-10,-11,-19,20,-122,-101,221,242,-97,-62,-109,97,48,-107,25,65,-65,-4,11,31,17,-37,-12,42,-11,-40,25,47,-85,27,-85,88,-72,-80,51,53,19,-15,-54,47,5,-40,13,-8,27,6,-19,61,-67,-60,128,-35,103,-118,-87,960,-1618,1070,-536,129,-112,-45,101,132,-261,106,146,-37,-168,-708,-3037,7219,-4018,455,-2149,1090,1229,532,-1066,-1679,-31,1659,16305,-13028,3138,-2764,2307,1975,159,-4205,-1903,17164,-4319,-3055,-1799,-1526,2830,6157,-903,-5833,-2186,3652,2200,-881,-1380,-1047,507,1961,585,-1509,-1428,394,1330,538,-529,-830,-375,754,706,-299,-830,-86,543,392,-133,-456,-159,400,364,-186,-430,-182,313,359,-57,-308,-72,207,136,-76,-144,-31,156,138,-82,-187,-45,103,96,-14,-115,-79,56,113,21,-91,-62,41,77,-26,-80,-48,17,8,12,-31,-4,-6,-4,-13,0,64,17,-30,-45,-31,23,47,12,-3,-55,-1,27,12,-7,-20,-6,5,11,8,-8,11,22,-1,-33,-19,-1,13,7,3,-29,-7,-6,7,-8,-15,-2,13,15,81,-3,-61,-35,-25,-7,197,-170,-33,-24,51,152,-33,-125,29,44,9,7,-37,-21,60,9,-88,-67,10,37,58,22,-2,12,9,-12,-36,-23,7,50,19,-17,-23,-17,12,24,24,-3,-2,-8,-3,-5,-7,2,9,-8,2,4,-5,19,10,-6,-15,-1,-1,-2,1,9,9,12,-7,-15,-1,-1,8,0,-6,2,6,-3,-2,-1,-1,3,-2,1,4,-15,-5,5,-1,-13,21,-15,41,-41,-40,64,65,-54,-54,26,94,-40,-69,37,71,-71,-49,95,-10,-85,70,17
-19,-16,18,14,16,-36,4,-9,14,-14,-3,2,3,0,6,12,4,16,-7,-16,-16,-8,-2,10,7,2,8,-8,5,13,0,-6,-12,-9,-4,4,9,6,1,1,-4,-4,7,7,2,-12,-4,-11,-5,13,16,12,-1,-8,-5,1,-2,9,-5,30,-134,123,71,-91,-20,-22,65,51,-60,-34,42,-61,33,75,-23,-73,8,32,19,-31,-24,35,12,-32,16,1,6,-12,7,0,2,13,2,-19,-21,9,25,-1,-30,-7,36,18,-4,-16,-24,-3,14,9,3,-14,-1,9,9,4,-6,-2,-10,6,0,-2,-6,1,5,15,4,2,-29,127,-577,515,167,-205,-42,-183,57,386,-267,-26,86,-84,-105,121,77,-24,-81,-30,45,74,-93,17,114,-52,-74,12,28,22,-16,-9,-2,20,-9,8,-17,-21,40,34,-30,-60,0,53,32,-4,-44,-14,9,25,17,-3,-34,-31,35,32,0,-27,-9,3,5,12,3,-10,0,11,-31,66,-270,212,231,-154,-97,-48,-41,153,-49,-90,137,-30,-105,41,9,59,5,-72,-6,42,-29,-23,53,13,-40,1,0,5,6,0,4,-6,-14,-3,10,3,6,8,-17,-3,-8,7,16,-7,-13,-39,56,-1,140,-1028,1444,-646,472,-571,219,-176,357,-101,-220,19,295,-285,178,-128,152,-447,639,-353,0,-118,79,69,144,-229,-86,258,-14,-154,39,-1,72,20,-100,-60,112,-3,6,47,-114,-29,165,-92,23,-121,243,-1807,335,2578,513,878,-4062,1014,-1883,4294,-212,1622,-3516,-550,1757,-6786,-10452,-5417,-4786,-954,15556,2696,-10464,-4302,-296,1970,9764,-321,-5824,-2836,2849,1746,645,-1028,-586,-1033,1149,694,-1685,-633,1339,695,-173,-347,-232,-555,399,349,-277,-262,385,225,-109,-184,-51,-18,256,135,-179,-203,-70,118,131,1,526,-382,-280,134,-367,141,737,-268,-405,-3,505,-138,87,-359,-32,158,218,-269,-181,140,178,4,-111,-85,-26,131,6,751,276,-421,1259,-895,-33,-132,201,-44,116,-30,-114,40,10,-10,47,-19,28,1,-47,-21,10,-17,12,-1,13,-31,24,21,-15,6,23,-11,-16,-20,3,21,9,0,-9,-1,-4,12,17,-17,-20,4,0,1,-5,11,8,5,-6,-8,3,-6,-3,6,-12,-5,-4,4,14,10,-3,-8,-3,-3,-5,5,-9,-12,-3,4,21,-1,-19,-2,19,5,-17,-13,-9,16,20,-8,-12,1,5,14,1,-20,0,0,-8,-10,-6,19,3,18,7,4,3,-18,-14,-2,-16,-21,20,2,19,-14,20,-42,13,4,36,-16,21,-1
19,26,21,5,-8,-21,-55,-40,-9,12,15,15,24,19,19,-10,-15,-25,-15,10,4,-2,-21,4,-5,21,6,7,4,11,2,4,-17,-29,-16,-3,-7,12,17,27,30,11,-6,-19,-39,-26,-15,-2,5,40,36,32,-19,-20,-16,-14,-23,-5,18,6,-1,6,15,17,-2,-29,-3,8,-2,-8,-1,12,10,-27,-23,18,45,32,-24,-38,7,28,3,-46,-9,0,23,14,22,9,10,-17,-40,-15,13,3,-14,7,6,33,23,2,-41,-27,-12,11,21,12,-9,-12,5,13,13,-4,-27,-6,13,20,2,-19,-28,3,17,21,-9,1,-11,11,4,-6,-39,6,8,11,-6,-29,19,72,13,-35,-85,-14,71,42,-21,-23,-16,12,23,10,-18,-8,14,-21,-13,-13,35,29,9,-50,-31,28,32,9,-25,-22,4,-8,-21,-34,42,53,-6,-44,-37,20,53,25,-45,-48,-14,52,52,-8,-87,19,30,71,-6,-77,-24,23,11,27,3,1,-5,-40,-4,37,38,-12,-36,-16,1,23,22,-1,-14,-18,15,5,-7,-5,0,-6,-2,-3,9,4,-5,-1,12,6,-7,-20,-16,1,20,14,2,-26,-9,26,22,-17,0,-6,-71,3,121,-30,-50,18,-28,65,24,-109,-49,21,35,45,-1,-44,-5,-3,-20,62,15,-33,-16,-10,26,-3,-12,-15,30,12,-18,1,8,-1,-3,6,1,-7,-3,-2,0,16,2,-1,-8,-11,-11,21,9,-13,-9,12,143,-566,550,-68,101,-359,204,-135,274,-78,-234,125,203,-257,142,-151,113,29,133,-667,781,-282,-161,7,114,-8,92,-179,18,127,-55,-118,161,-116,50,43,-74,-19,428,-288,644,-944,345,-400,117,69,-30,124,-39,-220,195,88,-85,43,-159,-114,-741,249,1003,1288,-3160,809,-263,859,1607,383,-777,-681,1151,68,276,-3554,2432,7974,6850,-22934,-2397,-5338,-489,8525,5125,-2445,-9668,3621,-3381,5344,-863,-839,-1395,1295,1700,194,-2897,-643,1009,1506,225,-943,-792,-132,1343,634,-975,-691,288,645,78,-539,-427,91,493,338,-403,-359,83,485,234,-267,-328,-55,199,135,-150,-220,29,343,187,-185,-260,61,115,-370,393,-180,-313,1024,-1055,237,-493,85,610,152,-495,-226,335,-133,835,-788,-73,-84,350,278,-228,-335,10,271,114,-93,-203,-27,212,149,-124,-171,48,84,20,-101,-86,3,127,53,9,66,-662,575,-410,683,245,-863,924,-320,-178,-215,73,222,50,-123,-182,194,5,49,-35,-85,16,93,-39,-9,-55,5,63,69,-79,-86,35,44,-1,-9,-22,10
19,4,-58,-7,65,17,-14,-19,-21,-61,-2,6,12,-6,16,23,5,-11,-13,18,18,-7,-3,-5,-16,4,-27,145,-177,7,123,62,-54,-86,31,19,-60,1,122,-31,-114,-27,121,62,-25,-11,4,-46,-75,20,75,28,-24,-10,13,-9,-25,-7,23,-13,16,-5,-47,8,75,21,6,-41,-52,30,7,33,21,-45,-31,7,-2,19,7,-1,-9,30,-7,-7,-4,-16,-16,-13,23,20,10,-6,-16,22,32,-59,-59,35,-14,20,31,-13,41,-41,-31,51,11,-54,4,11,8,-1,-4,-14,12,5,8,10,-21,-10,26,3,-9,-12,-6,1,-5,0,20,18,-5,-8,-21,5,-25,25,14,-3,-1,0,10,3,-18,1,5,-9,-12,3,12,3,17,9,3,38,-187,20,203,-28,-73,13,-83,92,-5,-57,96,2,-96,42,9,8,-19,5,6,19,-18,-39,72,8,-32,12,-7,-11,-8,1,8,21,8,-12,-5,-21,5,23,-4,-25,-2,5,10,7,-5,-1,-11,13,-23,10,59,121,-593,577,147,-143,-93,-205,61,238,-124,-58,115,-68,-63,42,42,30,-11,-69,13,58,-23,-65,69,7,-43,-9,23,-3,-8,4,-26,188,-456,-127,324,-272,-400,427,-288,242,105,-339,136,151,-270,164,-55,40,-4,-18,-72,98,19,-84,43,-239,-363,277,706,-197,-496,121,-49,335,-35,-369,78,309,-170,-44,33,-58,137,65,-208,49,105,12,-201,200,-95,105,56,-587,-382,2547,1175,-2144,116,-616,728,812,211,-1275,-274,1032,-251,15,-154,-461,235,616,1348,-5133,6226,-13129,8635,-7175,249,-408,1292,3040,-309,-2013,-1675,2174,1262,-151,-1438,-681,418,1376,101,-979,-826,470,804,10,-374,-285,-57,227,344,-207,-223,34,313,13,-175,-217,26,272,161,-159,-173,-12,129,29,-190,-41,101,159,-40,-121,-91,-337,1146,-393,-211,-257,-55,255,227,-214,-183,64,197,120,65,-148,-150,178,-169,-205,-71,36,145,158,98,-36,246,-63,-260,-73,-640,831,131,17,-252,14,-67,-95,6,16,67,-2,-116,19,74,32,-57,17,-10,29,37,-16,-19,-11,5,-7,-3,-68,126,-10,-162,1,20,89,142,1,-149,-74,36,25,21,-1,-55,71,23,-40,-71,29,72,84,-50,-90,-11,61,22,-40,-40,16,47,13,-38,-20,6,33,12,-10,-27,-12,17,2,-26,8,7,9,1,-8,-14,17,0,-3,-8,-3,4,19,-6,-16,-6,5,12,8,-16,-3,3,1,11,0,-8,-5,-8,4,1,5,-3,2,6,-1,0,-6,0,4
97,29,-46,-47,23,-24,24,-13,4,8,-19,-28,36,12,-4,-9,-5,-14,14,6,-4,-13,4,35,9,-33,-22,7,-5,9,22,16,-23,-31,17,33,12,-11,-25,-24,12,26,66,-32,44,-47,14,-32,-11,-5,8,25,21,-13,24,-18,20,-39,-7,-2,-9,1,-10,16,17,20,24,-15,6,-12,-19,7,-39,-50,35,-13,-16,60,12,-1,26,-10,65,8,-62,-27,-28,-44,-19,20,25,21,64,14,37,-34,-59,-39,-23,2,15,27,29,25,11,2,-12,-35,-38,-51,-4,37,2,48,108,-10,-61,-45,-22,53,-1,-43,-20,9,9,57,37,-14,-41,-43,-24,0,3,29,50,17,-19,-7,-2,-5,-27,-29,-9,5,18,27,17,19,22,-7,-35,-58,-34,15,39,32,13,-5,17,5,-6,-20,-25,-27,16,23,10,3,-3,1,15,0,13,-11,-166,72,109,19,-29,-48,-37,53,2,-20,34,-21,-40,27,13,15,-7,-11,-6,13,-7,-7,22,-13,-5,7,4,-9,4,10,-3,10,-3,-12,-19,-23,0,25,17,12,12,-3,-1,-5,-15,-10,-6,-7,12,-1,8,14,7,10,14,-34,-134,-92,219,199,-102,-99,-80,-26,68,24,-43,14,10,-33,12,40,40,16,-49,-42,9,-4,-3,23,23,-15,1,6,0,-12,-16,-12,16,12,19,-313,281,311,-431,-78,418,-349,326,-88,-298,330,45,-391,295,-34,-19,19,143,2354,-5470,4140,-2476,1291,-1515,34,251,970,-796,-246,427,163,-296,198,-358,182,255,-44,-299,63,114,-66,81,39,-141,-2,142,-33,-79,-9,40,88,-35,-394,-131,562,-208,-273,225,-263,2390,-2453,355,-479,420,843,122,-1137,-240,1091,-179,-228,-128,-222,819,-3873,-11791,18200,-9690,5669,4260,-2104,-6523,4786,-6899,6384,920,-3723,-1743,2816,1265,-1261,-955,-90,632,954,22,-2177,-324,1553,537,-719,-404,252,-31,505,-143,-462,-232,445,311,-144,-330,-11,91,250,13,-240,-207,219,174,40,-170,-137,162,144,-36,-194,-72,154,93,62,-141,-90,88,109,-12,-131,1,8,36,16,-2,-87,29,39,151,-495,868,-622,239,-13,211,-490,-400,57,268,362,2,-120,17,55,32,71,-109,10,-198,922,-534,-127,140,-99,-3,55,-45,1,202,-105,7,-14,19,-10,-8,-60,25,55,-25,-7,30,-54,-23,48,32,-32,-2,-9,34,-8,-7,-7,9,-18,15,6,-11,16,6,5,-10,-10,-14,10,5,-2,-8,7,7,-4,17,-11,-1,-1,-8,2,11,-16,7,23,-11,-21,4,-5,7,-4,-3,16
-33,4,5,34,-4,-16,-28,-18,23,7,-41,-45,-32,24,64,56,8,-11,-19,-17,-10,-22,-23,6,21,12,-2,1,4,25,1,0,-10,-15,-8,14,-1,3,-7,-2,3,-52,2,58,23,1,-51,-24,-49,-6,-20,33,53,60,56,31,-23,-70,-81,-61,0,-1,4,44,32,27,28,5,-8,-17,-9,-5,14,0,-7,-13,-33,-8,21,21,20,17,-9,-5,18,-5,-19,-35,-42,-4,25,22,47,43,42,-38,-74,-33,30,1,-39,-18,21,39,19,94,-159,159,-2,-125,-20,-35,32,98,-43,-8,26,-19,12,56,-11,-61,-40,6,41,-8,-34,26,43,-14,3,14,8,-3,-10,-21,-32,-9,8,4,3,29,29,20,-21,-34,-9,0,4,2,-3,-2,4,8,0,5,-4,-7,3,4,43,26,-356,-72,629,-52,-295,-95,-93,261,83,-189,38,20,-103,31,29,40,13,-35,-18,73,2,-84,16,43,-33,-7,19,20,1,6,5,-17,13,-14,-13,-33,19,71,17,-31,-45,9,13,13,27,-15,-6,-23,-8,15,11,-16,6,21,-10,-18,-11,21,89,-196,63,-78,271,-54,-79,-95,39,42,6,-47,13,5,29,-43,27,14,37,-88,-14,44,-18,9,4,30,43,83,-551,574,-243,79,-128,46,67,41,-122,29,79,-44,-61,93,-84,60,20,-47,-16,90,-66,236,543,1450,194,254,-945,145,189,321,-56,-405,-17,338,-166,15,-46,-141,152,166,-156,-106,59,-40,107,70,102,3243,-6282,5753,-6102,2499,-3079,-333,3072,1369,-2069,-1628,1180,804,264,-461,-718,-340,1088,443,-877,525,-2044,-21773,21212,-12148,2233,-2302,809,1524,2066,3239,-18867,2710,-2052,-15,-580,2063,-1851,1539,-1815,1127,-1145,1634,-1098,719,-1701,942,129,-735,-322,1549,-17,-549,-859,-1707,189,1668,1200,-247,-677,-502,48,1895,-920,-738,-745,348,1187,597,-713,-951,-190,704,748,-93,-654,-230,276,261,-156,-291,-92,256,237,-46,-314,-124,293,33,25,-222,-31,176,129,-151,-160,-4,166,86,-113,-122,34,92,70,-52,-125,16,57,39,-19,-17,-25,54,30,-27,-28,-10,25,31,1,-31,-31,12,26,16,-15,2,8,15,-16,-12,-9,12,8,-8,-15,0,17,12,18,1,-16,-23,-18,15,34,12,9,-36,-4,4,18,17,-18,-13,-9,20,5,5,-1,-5,-3,2,-1,2,5,-14,-6,-3,5,5,11,-6,-11,-9,18,3,-9,6,-22,7,-2,-3,6,21,-21,10,-22,5,12,-18,-19,13,5,8,2,9,-3,-21,14,33,-6,-24,-13,9
-70,83,99,-30,-71,-3,-3,80,-4,-30,-46,19,26,15,-31,0,27,4,-58,-36,27,49,38,-2,-25,-14,4,17,-20,-39,-30,20,65,30,-76,25,59,-168,188,9,-198,66,-56,103,103,-62,-115,90,-81,20,81,16,-89,46,-11,28,-14,-37,-21,-44,-6,9,66,54,12,19,-3,-24,-62,-66,-8,9,36,29,18,-8,22,42,13,0,-64,-27,16,-7,-42,-27,21,32,9,-1,33,35,23,11,-43,-68,-58,-2,23,15,1,53,47,21,-5,-30,-29,-55,-30,2,30,18,19,38,4,-17,-26,-16,-18,9,2,19,0,-25,5,27,9,-18,-4,-5,4,7,11,-2,-21,-30,-3,27,41,11,-15,-16,-8,4,-8,-20,-11,-2,25,27,20,-8,-15,-15,-2,-10,-7,-16,14,29,25,0,-19,-19,-2,-11,-2,4,9,13,6,-2,-2,-3,0,-7,-14,0,11,10,9,-16,-1,-1,3,-2,2,-1,2,6,-4,-9,4,-2,-9,9,0,-1,11,-3,-11,-3,1,16,-5,-5,-17,9,9,11,1,-9,-9,-9,-4,7,68,-22,-220,184,142,-58,-111,-76,19,163,-71,-25,56,-43,-91,73,71,-3,-87,-12,27,29,-46,12,73,-25,-61,11,16,10,-12,-4,3,13,-16,15,0,-18,7,32,-12,-20,-12,25,48,-64,-162,119,-4,99,219,-263,-144,35,-41,235,-53,-167,146,7,-150,90,36,3,-36,-40,-9,91,-17,-42,64,16,-98,32,29,-10,-10,15,-10,2,-5,13,0,-30,23,23,-25,-13,-13,26,14,-7,-9,7,-19,3,11,13,-14,75,56,-562,527,162,-99,-176,-98,17,179,-78,-100,113,58,-82,7,-75,74,80,-66,-55,30,36,-9,50,-283,248,9,124,-193,-45,21,137,-32,-97,-43,153,-109,56,-19,31,26,-33,-86,46,43,-21,23,11,-63,12,19,-130,423,-421,352,-99,-5,-101,22,-28,132,-744,797,-3487,3975,-5174,1261,-165,-211,1803,435,-1955,-1062,1572,651,-190,-551,-210,-47,1048,1447,-12062,2313,-10094,2794,204,1619,4376,-375,-4786,-2456,273,3066,2639,-589,-3554,-982,2324,936,-322,-561,-688,502,1084,-631,-903,155,495,293,92,-336,-443,285,437,-178,-309,-158,305,264,-72,-344,-136,225,267,20,-245,-140,115,97,4,-124,32,67,6,-116,-63,131,235,875,-755,-744,-122,250,-98,471,288,353,-773,26,-131,1050,573,-97,-987,-655,96,264,583,-5,-538,-154,521,188,-12,-347,-242,305,316,-208,-316,-12,218,161,-70,-104,-33,124,79,-98,-106,-3,130,52,-160
-14,4,-17,14,21,10,5,-14,-17,-3,-5,2,17,10,8,21,-5,-7,-10,-12,-13,-15,2,-2,8,14,28,9,-4,-13,-25,-6,-2,-1,5,1,3,5,8,7,1,-8,31,73,-187,137,-51,16,-43,2,11,60,26,40,-9,-20,-57,-37,-18,2,17,28,21,22,5,-8,-27,-34,-22,0,22,11,35,32,9,-22,-35,-36,-25,-4,31,-9,20,25,83,-58,-6,-29,-43,-10,-6,-1,56,50,-54,35,-5,-23,-21,-8,12,12,19,-5,0,-2,-9,-12,-6,3,18,7,10,7,-9,-12,-21,-12,3,8,13,13,3,7,-3,-12,-9,-15,-14,-7,29,30,17,0,-26,-16,-5,-13,6,13,1,14,6,-9,-10,-20,3,41,-37,-12,41,-3,10,-23,-11,20,-13,-21,24,15,-2,-9,12,-15,-22,2,4,13,0,4,21,-2,-16,-11,2,1,-4,-1,4,6,10,10,-7,-17,-12,9,-8,2,9,13,6,-2,-24,3,1,-11,6,4,10,1,-10,-3,13,-52,66,-1,-381,361,126,-81,-79,-212,59,177,-33,-2,-11,-57,-10,33,56,31,-61,-68,13,49,-6,16,37,-36,-36,-12,31,16,1,-26,4,22,5,-6,-21,-29,23,16,13,-15,-19,17,18,5,-20,-10,-13,5,36,1,-8,-18,54,3,56,-711,1181,-100,-262,-66,-278,242,388,-389,-131,352,-136,-169,139,-25,140,7,-152,-69,174,-77,-22,264,-327,337,-178,79,-120,-70,224,18,-201,48,184,-187,-48,132,-23,69,-99,-90,74,74,-47,8,58,-106,-13,3,44,34,-11,-26,49,-123,104,54,1273,-3787,5333,-3090,-495,-217,-206,1537,1029,-939,-1894,193,1618,-70,-288,-247,-3326,1516,10997,-11149,544,-691,1166,-271,383,-3052,-974,3393,1999,-1083,-2595,-31,902,1973,-322,-1197,-1486,464,1571,304,-984,-697,492,635,231,-449,-601,-14,753,271,-461,-396,119,318,127,-245,-279,149,334,117,-191,-334,37,235,136,-189,-146,13,142,114,-16,-115,-10,56,0,-80,12,63,42,-15,-39,-86,41,62,40,-32,-69,-22,37,54,-2,-20,-17,45,1,-17,-25,13,15,18,-39,-34,15,62,-16,-19,-16,12,10,8,-19,-44,9,33,4,-5,-25,39,-21,47,-3,177,98,-247,-368,-206,87,259,555,-972,-641,154,351,25,-16,-190,175,-187,285,235,-365,-292,-181,178,497,-81,-310,-173,465,-45,29,-247,-68,242,130,-177,-160,71,132,61,-78,-96,11,100,4,-61,-29,33,73,-6,-55,-44,4,66,31,-18,-55,3,24,7,-9,-35
-50,2,-25,45,4,-33,1,-14,60,-71,-5,-7,14,13,-16,13,13,-12,-14,34,-29,0,23,-6,23,-2,-11,12,-40,-22,22,-12,-27,26,48,-11,20,-9,-12,9,22,-8,-18,-40,-10,6,21,3,0,16,22,-5,-10,3,2,-25,-10,-15,8,-2,7,62,-24,-7,-57,4,23,11,-6,0,-12,-4,19,9,-10,-9,-23,-10,23,49,13,1,-45,-43,3,25,5,0,-18,8,24,8,0,-11,-4,-12,-9,1,18,18,-11,-12,-9,-7,-3,18,17,-4,-18,-11,3,14,5,8,3,-14,-18,-9,11,28,8,-23,-23,1,23,27,-4,-18,-19,-17,14,14,11,11,-20,-19,7,16,20,-5,-37,-30,46,33,-26,-12,-32,40,27,-23,-12,0,-6,10,13,-6,-20,-2,19,14,-6,-33,-6,18,23,1,-7,-11,-12,-5,22,21,6,-22,-29,-4,17,27,15,-12,-28,-22,-3,29,34,2,-26,-17,7,0,4,6,10,4,-16,-4,3,-3,-3,4,-7,8,2,-11,-3,-9,8,28,28,-20,-61,2,73,-134,70,76,9,-43,-55,-21,33,52,-20,3,2,-78,-5,69,49,-17,-57,-26,28,26,-9,2,29,-16,-30,-20,27,34,-9,-30,-18,17,52,-11,-43,-13,28,19,-9,-21,3,13,7,-23,7,21,21,-33,-17,-11,-23,125,-192,-34,232,-22,-113,16,-96,119,105,-185,-27,64,-75,104,12,-179,445,-201,-215,190,-70,146,52,-288,-3,210,-128,71,40,-70,4,-26,-35,100,46,-124,-26,-145,921,-769,397,-331,121,-27,125,-38,-107,25,54,-141,135,5,-55,30,-3,-72,89,25,-78,87,-2,-94,15,-6,92,-72,55,73,23,-65,-214,29,-359,2092,242,-866,-265,-240,420,555,20,-934,45,703,-90,-182,37,-373,283,370,-372,-108,-154,-1721,-937,9072,-3754,-3458,-6848,-70,394,4718,2843,-4903,-2219,-340,858,1590,-2469,-3007,-559,2162,2473,703,-1444,-1549,-472,986,1293,-177,-994,-551,729,723,-233,-655,-172,389,338,-56,-449,-226,262,468,-52,-289,-88,261,95,-208,-253,-41,252,203,-17,-218,-103,80,143,8,-110,-104,74,80,52,-72,-58,59,123,-71,-202,-82,149,172,29,-136,-178,-9,74,118,-7,-36,-66,-41,38,47,-30,49,46,-28,-56,-49,61,79,26,-93,-49,-9,41,43,-23,12,-51,106,-57,10,170,-237,35,-57,72,-203,277,6,-68,-587,491,200,181,-355,-486,-380,135,540,342,-468,-240,82,164,326,-268,-196,129,272,18,-285,-229,29,245,97,-72,-152,-37,112
