10,-52,25,2,-9,25,1,-12,29,0,-12,29,-43,-12,34,-81,-14,-2,-84,-18,2,-87,25,4,-48,25,5,-12,26,2,-11,30,-41,-13,33,-80,-11,33,-83,-19,-1,-86,21,5,-86,28,6,-51,25,5,-8,29,-37,-13,32,-79,-12,34,-81,-16,3,-86,22,5,-89,23,7,-50,24,3,-10,30,-40,-11,35,-80,-14,38,-79,-15,2,-88,21,6,-87,22,6,-50,25,4,-8,28,-39,-13,37,-76,-18,35,-84,-16,1,-87,26,5,-90,25,8,-89,22,7,-14,31,-40,-11,33,-81,-15,34,-80,-19,-1,-83,22,7,-88,19,7,-90,23,-35,-10,27,-77,-12,34,-81,-14,33,-79,-18,2,-86,22,7,-89,23,5,-52,21,0,-14,27,-78,-10,35,-78,-14,37,-83,-14,1,-87,24,5,-89,22,3,-90,19,1,-16,31,-78,-11,37,-78,-17,36,-85,-20,2,-86,22,9,-85,23,6,-51,22,-39,-11,30,-78,-11,30,-80,-17,33,-84,-16,2,-87,21,6,-89,24,5,-8,24,2,-10,32,-77,-14,35,-83,-15,36,-84,-19,4,-90,25,6,-87,25,4,-10,24,-37,-11,33,-79,-13,38,-79,-16,41,-83,-17,6,-87,25,8,-90,25,4,-9,23,-40,-13,33,-78,-15,35,-82,-19,37,-83,-17,4,-83,25,6,-89,22,7,-8,25,-38,-11,29,-79,-14,35,-79,-16,-2,-84,-15,3,-89,25,6,-49,24,5,-9,26,-36,-9,27,-93,-178,-840,-157,-1376,-144,54,197,25,-94,-27,0,-54,27,-1,-6,23,-39,-16,31,-76,-8,35,-82,-14,2,-87,-13,6,-86,25,10,-49,21,2,-11,28,-41,-10,33,-79,-14,35,-83,-18,0,-84,-15,5,-89,23,6,-49,23,5,-12,29,-43,-12,34,-78,-15,34,-81,-17,1,-87,-15,3,-85,25,6,-49,26,3,-10,26,-40,-13,32,-80,-15,34,-81,-16,0,-85,18,3,-86,21,7,-49,22,3,-13,28,-36,-10,35,-78,-14,37,-80,-18,3,-85,21,6,-87,23,6,-49,23,7,-14,28,-78,-12,32,-77,-19,37,-82,-18,2,-88,23,8,-92,21,6,-48,24,3,-13,28,-77,-13,30,-78,-15,38,-82,-17,1,-88,22,8,-90,22,5,-9,29,3,-10,30,-81,-13,36,-79,-16,39,-85,-14,4,-85,23,8,-88,22,5,-11,21,2,-12,28,-79,-10,36,-80,-15,39,-81,-16,4,-85,20,9,-89,23,5,-8,23,3,-10,31,-81,-14,37,-80,-14,-1,-82,-20,6,-89,23
-9,-9,5,-10,-9,0,-11,-9,-48,-14,-3,-46,-15,1,-46,-16,2,-46,-16,4,-16,25,5,-9,30,-40,-11,32,-41,-16,34,-45,-16,1,-81,-19,5,-48,25,10,-6,22,5,-7,31,3,-10,36,-41,-14,36,-79,-18,-6,-86,-19,4,-85,24,4,-49,28,3,-8,30,1,-10,33,-40,-14,40,-84,-17,0,-91,-14,4,-87,23,8,-51,19,8,-7,33,-46,-12,37,-40,-13,35,-83,-20,3,-89,-18,4,-87,28,6,-9,21,5,-6,29,-37,-11,35,-83,-10,38,-88,-15,3,-83,-17,7,-50,21,9,-6,27,6,-12,28,-38,-11,33,-39,-16,37,-87,-18,2,-47,-12,7,-47,24,5,-10,27,10,-13,28,-35,-15,29,-45,-18,39,-80,-16,0,-45,27,5,-51,18,5,-11,25,5,-11,31,-42,-12,35,-43,-16,4,-79,-14,3,-83,22,5,-50,23,5,-8,25,3,-11,30,-41,-15,36,-82,-17,2,-83,-17,6,-85,24,8,-47,20,4,-9,25,4,-10,35,-39,-14,41,-81,-18,5,-83,-15,7,-49,22,9,-48,23,7,-8,30,-42,-12,31,-36,-15,36,-81,-15,1,-83,-18,-8,-92,18,1,-50,26,7,-13,28,-40,-9,35,-37,-18,38,-81,-14,3,-82,-14,6,-49,20,6,-51,25,1,-12,27,-41,-12,31,-76,-16,39,-83,-16,3,-84,-14,4,-52,25,3,-7,27,5,-14,31,-43,-11,32,-44,-16,-2,-83,-16,6,189,29,715,60,32,-6,-59,27,11,-12,36,-44,-12,-678,-525,-117,-42,-85,-8,13,-43,20,6,-48,21,4,-7,26,6,-12,32,-41,-15,33,-42,-13,4,-76,-18,3,-85,22,8,-46,24,3,-9,27,6,-10,33,-40,-17,36,-80,-15,-1,-87,-15,3,-86,25,8,-48,24,3,-12,30,-39,-14,37,-42,-14,36,-81,-17,5,-86,-18,6,-90,25,7,-52,25,3,-11,28,-39,-13,36,-79,-11,33,-84,-21,-3,-86,-16,6,-89,19,5,-48,28,7,-9,30,-40,-7,36,-40,-16,35,-81,-14,2,-85,26,6,-50,25,3,-50,25,3,-9,31,-38,-13,35,-79,-15,38,-79,-19,5,-87,23,9,-51,22,5,-9,27,3,-10,31,-38,-15,32,-80,-14,-1,-81,-17,6,-87,22,8,-50,23,4,-12,23,5,-11,34,-38,-12,38,-76,-16,-2,-80,-15,4,-85,22,7,-46,27,5,-6,30,2,-9,34,-80,-12,36,-79,-16,1,-84,-14,6,-92,23,8,-52,26,7,-10,28,-36,-14,33,-78
-4,-46,-14,2,-8,-13,7,-10,-12,6,-13,24,5,-12,30,2,-9,-5,-42,-11,-1,-41,-18,2,-48,-12,7,-47,22,5,-6,25,6,-11,31,5,-9,35,-41,-13,39,-83,-13,4,-85,-15,6,-86,22,8,-51,25,4,-10,30,-38,-12,34,-78,-13,39,-82,-14,1,-82,-13,7,-47,25,4,-51,25,4,-11,31,-39,-9,35,-37,-13,38,-83,-16,2,-85,-17,4,-49,19,7,-9,22,2,-10,32,2,-15,40,-79,-14,34,-79,-19,5,-86,-13,6,-48,26,6,-11,25,4,-10,26,-38,-12,38,-40,-14,38,-84,-14,1,-84,-19,5,-89,19,9,-50,23,1,-9,35,-37,-12,34,-80,-16,38,-81,-21,-1,-83,-19,8,-47,25,9,-52,25,7,-7,23,-37,-11,31,-80,-15,38,-83,-18,2,-83,-15,8,-88,21,1,-52,26,4,-14,28,-39,-19,36,-83,-17,-3,-81,-19,6,-85,25,7,-87,24,6,-12,29,3,-8,27,-43,-14,31,-78,-12,-3,-85,-15,5,-84,22,5,-91,17,4,-8,20,4,-14,33,-43,-15,36,-79,-17,-2,-80,-15,6,-89,19,4,-48,26,8,-5,28,4,-11,35,-40,-13,33,-80,-19,-1,-81,-16,8,-89,21,6,-47,26,5,-9,28,5,-10,26,-41,-13,35,-81,-17,-1,-88,-16,5,-85,24,6,-45,22,8,-8,29,1,-9,36,-42,-15,34,-40,-17,-3,-81,-20,6,-48,20,8,-49,26,6,-10,28,2,-10,35,-37,-13,35,-83,-14,0,-84,-15,3,-85,25,7,-50,24,5,-10,28,3,-13,-625,-364,-749,-20,-354,-70,198,101,-6,-15,-93,20,15,-42,26,14,-9,36,5,-9,35,-37,-13,39,-81,-18,2,-85,-16,2,-87,23,8,-51,26,7,-8,28,-40,-17,35,-80,-13,34,-80,-17,1,-87,-16,3,-90,22,7,-50,30,5,-7,32,-39,-10,36,-41,-14,35,-82,-12,2,-81,-17,7,-89,24,1,-47,27,3,-7,25,-42,-15,34,-41,-15,35,-83,-19,0,-86,-18,7,-87,27,8,-46,26,5,-11,30,-40,-10,36,-80,-13,36,-80,-20,3,-83,-20,6,-85,23,6,-47,21,5,-11,27,-37,-14,35,-83,-13,36,-81,-17,3,-82,-18,8,-91,25,5,-50,25,7,-10,32,-38,-12,36,-42,-15,38,-85,-19,5,-85,-16,7,-88,25,10,-50,27,5,-12,33,-39,-13,34,-80,-12,37,-82,-17,3,-85,-16,7,-88,25,4,-51,25,7,-15,29,-41,-10,37,-83,-15,34,-80,-15
-10,-7,-1,-14,-3,-6,-11,2,-8,-14,-3,-42,-14,-1,-45,-13,2,-51,26,4,-12,26,7,-11,29,0,-13,32,-41,-15,36,-82,-16,0,-84,-15,7,-86,24,7,-47,23,5,-7,26,5,-10,32,-37,-16,37,-80,-17,38,-81,-17,6,-88,22,7,-90,25,4,-10,27,5,-11,33,-39,-13,33,-80,-19,-3,-83,-15,2,-85,24,8,-49,25,4,-9,26,4,-10,30,-39,-12,33,-79,-17,-3,-85,-18,2,-85,22,7,-87,23,6,-48,22,3,-13,32,-75,-10,35,-80,-16,-1,-82,-16,6,-87,21,9,-87,25,4,-10,23,-39,-10,32,-78,-13,37,-81,-16,2,-79,-18,3,-85,24,8,-91,24,6,-7,23,-36,-9,33,-77,-15,36,-83,-16,-2,-85,-18,1,-87,24,7,-91,26,7,-46,23,-38,-9,30,-36,-10,34,-80,-17,0,-87,-14,1,-86,24,7,-88,22,6,-51,25,4,-11,34,-79,-10,34,-79,-16,0,-78,-21,5,-85,24,11,-89,23,1,-6,26,-37,-10,34,-40,-12,34,-79,-15,-7,-81,-14,3,-85,23,6,-52,22,3,-10,23,1,-7,32,-41,-12,36,-80,-15,-3,-81,-15,4,-92,27,9,-90,23,5,-5,26,2,-12,34,-82,-19,35,-79,-18,41,-85,-17,6,-86,23,6,-89,21,6,-11,29,-2,-11,32,-39,-13,32,-84,-16,41,-76,-14,-1,-82,20,6,-52,24,2,-7,21,4,-13,33,-40,-16,37,-82,-17,37,-87,-18,3,-87,26,6,-49,23,6,-11,25,-4,-13,25,-76,-15,-417,-543,-223,-22,97,96,28,-86,4,-1,-92,27,8,-8,25,3,-13,35,-42,-11,30,-79,-13,39,-83,-17,5,-86,21,7,-45,21,6,-10,25,2,-14,32,-37,-11,36,-81,-18,0,-88,-19,4,-85,23,7,-48,23,4,-6,28,3,-14,32,-38,-13,34,-82,-18,37,-83,-16,2,-92,16,9,-47,28,10,-6,31,8,-9,36,-37,-13,35,-80,-18,1,-83,-17,10,-88,22,3,-87,25,4,-8,27,-1,-8,35,-40,-16,35,-80,-19,-4,-86,-16,2,-88,22,4,-47,22,6,-8,26,1,-9,34,-79,-12,35,-78,-19,-1,-82,-15,4,-89,25,6,-88,27,7,-10,30,-39,-10,32,-41,-13,34,-80,-15,-4,-84,-19,3,-90,23,6,-87,24,7,-6,27,4,-10,35,-80,-14,30,-82,-16,1,-82,-18,2,-88,21,7,-87,25,6,-9,27,0,-11,34,-75,-13,35,-78,-14,0,-80,-16,6,-87,22,8
-8,-41,-11,-3,-82,-12,1,-44,-18,3,-50,-13,3,-9,25,5,-8,25,3,-10,32,-36,-11,34,-41,-18,-3,-82,-17,5,-84,23,6,-50,24,7,-12,24,6,-13,30,-40,-14,36,-80,-16,35,-82,-17,3,-86,26,8,-87,24,11,-47,26,8,-10,34,-43,-12,33,-81,-16,39,-80,-16,4,-85,23,7,-53,24,7,-13,30,6,-11,33,-40,-15,35,-79,-17,34,-83,-14,8,-86,-17,7,-50,24,5,-11,24,4,-10,34,-39,-12,31,-82,-14,-2,-83,-19,4,-82,23,8,-46,22,5,-7,27,6,-9,31,-43,-9,32,-81,-16,-4,-81,-16,4,-84,22,8,-49,21,7,-7,23,1,-12,31,-41,-14,32,-80,-15,0,-81,-15,5,-89,24,6,-50,23,9,-9,27,4,-10,31,-43,-13,32,-79,-14,2,-83,-16,6,-85,25,5,-86,25,8,-7,29,-38,-13,30,-76,-14,35,-77,-18,-3,-82,-16,4,-85,-15,6,-88,25,7,-7,22,5,-7,34,-38,-13,37,-80,-15,-1,-85,-16,4,-88,-18,8,-90,25,7,-11,27,3,-14,30,-44,-17,36,-81,-17,3,-86,-16,6,-87,25,8,-88,25,7,-10,24,-40,-8,36,-42,-13,37,-77,-14,3,-80,-13,1,-84,22,5,-46,23,5,-9,29,1,-9,32,-37,-18,36,-79,-12,-1,-83,-12,-1,-87,25,5,-47,24,5,-10,23,0,-14,32,-78,-17,34,-84,-21,0,-89,-26,152,11,16,-1,14,33,9,-14,29,5,-10,28,-76,-20,37,-81,-16,108,-83,-8,-3,-90,22,-187,-747,-234,-9,1,33,17,-118,-231,-36,-26,50,-72,-27,4,-90,-16,7,-46,396,4,-98,19,7,-7,34,6,-12,36,-42,-13,31,-84,-19,-3,-87,-16,4,-95,23,9,-9,26,3,-13,32,4,-9,37,-41,-12,33,-85,-17,5,-84,-16,3,-90,26,7,-51,23,5,-12,27,-39,-15,36,-79,-15,37,-89,-16,-2,-84,-18,9,-51,22,9,-10,25,3,-7,32,-37,-13,29,-84,-13,38,-81,-19,-1,-85,24,1,-89,24,6,-52,26,5,-13,25,-40,-10,35,-78,-16,38,-80,-16,2,-83,20,8,-51,23,10,-47,25,1,-10,28,-37,-15,35,-77,-15,35,-83,-13,5,-46,21,6,-50,25,7,-10,22,7,-13,29,-40,-15,33,-77,-15,-1,-81,-16,6,-83,-18,8,-51,23,7,-11,26,6,-15,29,-39,-11,32,-83,-14,1,-82,-19,6,-88,28,8,-87,25,7,-8,26,4,-15,29,-40,-14
1,-9,-9,2,-9,-12,3,-11,29,5,-7,29,0,-8,37,-41,-13,-2,-43,-14,3,-47,-15,5,-50,20,5,-7,25,5,-8,32,0,-11,34,-41,-12,37,-82,-17,-1,-88,-14,5,-50,23,7,-48,22,5,-11,29,3,-13,31,-41,-14,38,-81,-14,3,-44,-16,9,-46,22,5,-11,22,8,-10,30,-36,-11,32,-39,-17,-1,-81,-17,0,-43,-18,5,-51,23,10,-9,25,6,-10,31,-40,-16,33,-81,-14,2,-83,-19,5,-87,-14,11,-48,21,8,-51,26,-36,-13,30,-42,-14,36,-79,-17,-1,-85,-18,2,-90,24,6,-45,20,3,-11,28,2,-11,31,-43,-16,35,-80,-15,2,-83,-18,5,-86,29,9,-50,26,6,-7,29,-39,-13,34,-77,-11,35,-84,-15,2,-86,-14,5,-86,20,6,-50,25,2,-9,30,-43,-11,36,-80,-10,35,-80,-20,2,-85,-16,4,-87,19,7,-55,24,5,-11,30,-35,-11,36,-80,-17,35,-77,-15,1,-84,-15,8,-48,24,6,-50,23,4,-14,25,-41,-15,31,-44,-13,-3,-81,-17,-2,-85,-21,6,-52,23,7,-12,23,6,-11,29,-41,-13,35,-79,-17,0,-79,-16,5,-89,20,8,-49,24,4,-7,26,6,-11,32,-42,-9,34,-79,-16,-2,-84,-18,3,-46,17,12,-46,26,4,-6,31,7,-10,31,-41,-14,38,-80,-17,4,-85,-14,5,-52,23,9,-47,25,3,-10,26,-39,-13,32,-41,-15,37,-82,-17,1,-81,-18,4,-45,20,8,-10,24,3,-9,26,196,-120,-422,-35,-20,47,-83,-17,3,-85,-18,7,-94,18,4,-10,28,8,1461,619,68,-27,-22,-63,-18,-182,-370,178,302,-18,-13,-11,-55,20,8,-7,20,10,-11,30,-41,-10,35,-40,-14,-5,-84,-19,1,-51,25,4,-47,22,7,-9,27,4,-9,31,-41,-15,34,-39,-18,-1,-83,-19,4,-84,16,1,-47,23,4,-8,26,3,-6,33,-41,-13,37,-79,-16,-1,-84,-14,20,-38,27,11,-48,22,3,-12,27,5,-14,36,-44,-16,36,-79,-9,8,-83,-14,5,-50,20,8,-51,22,6,-10,31,-41,-12,37,-38,-11,36,-83,-16,1,-83,-17,7,-52,27,5,-48,22,7,-9,30,-36,-12,32,-41,-17,34,-83,-18,2,-87,-16,9,-47,23,6,-9,26,4,-11,32,-40,-15,35,-78,-18,0,-78,-16,3,-87,23,8,-47,25,3,-11,26,3,-13,31,-43,-14,33,-78,-15,-1,-84,-15,4,-84,23,8,-53,21,4,-10,26
-10,-7,-1,-9,-3,-44,-12,-4,-41,-10,0,-44,-14,4,-8,24,5,-10,25,3,-11,30,3,-11,38,-38,-9,-2,-44,-15,2,-45,-18,0,-47,22,8,-9,25,4,-9,24,6,-11,36,-40,-17,34,-80,-19,2,-45,-13,2,-50,18,5,-48,22,4,-10,25,-40,-16,29,-44,-10,36,-43,-16,-2,-85,-16,5,-51,19,6,-8,22,6,-9,35,-38,-9,33,-44,-12,40,-76,-18,3,-48,-18,7,-46,28,3,-7,23,8,-10,30,-38,-14,36,-37,-16,-2,-80,-17,5,-46,-16,8,-53,20,5,-10,24,7,-14,28,-39,-15,37,-41,-15,-3,-85,-18,2,-84,-14,5,-48,20,3,-9,27,5,-13,30,-39,-16,36,-42,-16,-3,-82,-16,4,-88,-14,8,-52,23,4,-7,23,1,-10,27,-40,-12,36,-79,-12,1,-83,-15,6,-47,24,8,-48,22,5,-9,25,1,-10,33,-41,-13,37,-83,-14,2,-44,-16,4,-46,21,9,-48,23,4,-10,28,6,-11,34,-39,-13,33,-79,-19,2,-83,-13,3,-47,25,4,-11,20,7,-9,25,-39,-15,31,-40,-16,38,-80,-16,4,-84,-17,7,-50,26,9,-51,22,11,-13,31,-40,-11,36,-38,-15,37,-41,-17,3,-46,-15,7,-49,25,7,-9,21,3,-10,29,-35,-10,39,-44,-15,39,-44,-16,3,-45,-14,7,-50,23,7,-9,25,5,-11,31,-40,-15,34,-40,-16,2,-82,-21,1,-84,-17,8,-49,21,4,-11,23,4,-13,29,-43,-12,36,-45,-17,-2,-81,-19,6,-45,-18,10,-49,20,4,-6,25,1,-10,34,-39,-13,35,-77,-16,1,-44,-14,7,-44,-19,6,-47,25,6,-8,24,1,-12,30,-42,-13,36,-41,-17,-1,-45,-19,6,-47,25,-17,-200,10,190,16,46,-4,-23,28,-37,-11,40,-81,-17,4,-87,-14,41,-597,-179,0,6,36,-10,-16,24,11,-5,31,-28,-7,42,-80,-23,-1,-84,-16,6,-50,23,5,-5,19,4,-8,30,2,-14,39,-32,-9,43,-76,-20,1,-84,-15,9,-53,21,8,-10,27,7,-10,28,6,-10,30,-73,-17,38,-80,-22,4,-89,-14,5,-48,27,9,-11,24,5,-10,30,-41,-10,33,-39,-11,0,-81,-17,4,-43,-14,7,-52,24,5,-8,24,6,-11,27,-39,-12,34,-44,-17,-2,-81,-17,2,-45,-15,7,-54,25,8,-8,28,2,-13,28,-40,-11,36,-40,-15,-2,-85,-18,1,-45,-19,7,-45,19,8,-9,21,4,-12,30,-42,-14,36,-80
2,-11,-6,1,-13,-1,-45,-15,2,-42,-12,5,-46,-18,5,-11,29,7,-8,28,2,-8,33,-38,-11,37,-43,-14,1,-46,-15,5,-47,-17,7,-47,27,5,-11,26,7,-10,30,-38,-13,37,-37,-14,0,-40,-14,6,-45,-20,5,-48,19,9,-7,25,4,-10,27,-41,-11,34,-37,-13,1,-82,-16,3,-83,-15,8,-49,24,8,-7,22,2,-14,29,-37,-14,35,-42,-14,39,-39,-21,6,-45,-14,5,-46,21,11,-12,26,6,-11,30,-34,-12,37,-43,-14,0,-81,-19,-1,-42,-20,9,-46,21,7,-10,24,7,-16,32,-33,-14,32,-41,-16,0,-82,-18,0,-81,-17,1,-50,19,7,-6,24,3,-11,30,-36,-13,37,-39,-12,35,-79,-19,-1,-85,-15,7,-49,26,4,-7,23,7,-10,29,-35,-15,34,-40,-16,39,-45,-16,4,-47,-15,9,-48,23,9,-9,26,2,-9,30,-38,-12,37,-41,-18,-1,-79,-19,2,-47,-17,5,-49,25,4,-8,24,3,-11,26,-35,-13,34,-39,-13,0,-43,-13,4,-46,-19,7,-53,25,7,-10,21,6,-12,30,0,-10,33,-40,-14,-2,-81,-16,0,-47,-16,9,-48,27,8,-11,25,12,-5,30,-41,-12,33,-41,-14,37,-45,-16,3,-42,-17,6,-52,25,5,-6,22,5,-11,29,4,-10,37,-39,-17,32,-41,-17,3,-42,-13,6,-48,23,3,-5,25,9,-13,29,-39,-9,32,-43,-14,37,-79,-14,4,-84,-15,8,-47,26,3,-46,23,5,-816,-358,62,6,111,-38,-32,-12,-36,-15,8,-86,-1053,-385,-332,-469,-1,14,39,15,-6,7,-6,-9,41,-35,-18,33,-77,-16,4,-46,-20,8,-48,21,8,-8,26,4,-10,28,-40,-9,30,-40,-12,31,-80,-19,2,-81,-14,7,-51,24,9,-46,24,7,-7,29,2,-10,37,-41,-10,38,-45,-14,3,-83,-16,3,-47,27,8,-46,23,7,-10,30,5,-14,36,-41,-10,39,-39,-15,7,-44,-7,13,-86,25,5,-45,20,8,-11,24,2,-21,15,-48,-19,37,-75,-11,0,-45,-21,7,-52,25,7,-10,19,6,-10,31,3,-10,34,-42,-13,37,-45,-20,3,-82,-14,8,-49,22,8,-49,22,6,-9,30,5,-10,31,-39,-14,36,-44,-13,3,-81,-12,5,-47,27,7,-52,26,5,-8,29,6,-14,34,-39,-14,36,-40,-16,2,-81,-16,8,-83,25,5,-5,22,4,-10,22,0,-13,30,-40,-13,32,-81,-16,2,-42,-17,6,-50,25,10,-7,24
-15,27,3,-16,-11,5,-8,-2,-41,-14,1,-43,-16,-2,-46,-14,-2,-45,-13,9,-9,26,9,-12,29,3,-14,33,-45,-13,32,-44,-14,-4,-84,-18,1,-83,-15,2,-49,18,11,-12,29,5,-8,27,-2,-5,38,-42,-17,-2,-83,-18,3,-82,-14,7,-49,21,4,-44,28,6,-5,30,-38,-14,29,-40,-18,36,-39,-15,4,-47,-16,6,-49,23,9,-5,25,6,-8,26,3,-11,32,-44,-14,40,-38,-18,8,-43,-17,7,-46,19,6,-11,24,4,-15,27,2,-12,34,-36,-16,37,-43,-18,1,-48,-17,5,-51,25,13,-7,24,2,-13,27,-1,-17,33,-35,-22,34,-42,-21,4,-41,-14,5,-52,18,9,-10,28,5,-8,28,4,-8,36,-37,-15,36,-42,-16,0,-45,-16,4,-51,25,8,-6,22,2,-6,31,1,-7,32,-39,-14,34,-44,-16,-1,-48,-16,7,-48,25,3,-52,24,2,-7,29,0,-8,29,-37,-12,32,-45,-18,-1,-80,-14,-2,-46,27,8,-48,28,6,-6,23,3,-7,32,-29,-8,39,-39,-16,-3,-41,-14,3,-47,-16,10,-48,26,8,-7,28,5,-12,29,-39,-13,32,-39,-14,-2,-43,-19,6,-47,-19,6,-51,21,9,-8,24,8,-11,28,-35,-13,35,-40,-14,1,-80,-21,3,-44,-17,8,-50,22,9,-11,21,8,-11,29,-40,-11,36,-40,-19,-2,-41,-17,0,-43,-16,11,-45,24,7,-8,24,4,-10,31,-38,-10,33,-42,-10,-3,-83,-14,4,-37,-161,-112,-412,68,26,18,12,-10,-8,45,12,-4,33,-39,-121,284,2,110,232,-86,-68,2,-51,27,8,-7,28,7,-6,26,0,-9,35,-40,-12,38,-45,-15,5,-85,-16,5,-52,21,9,-7,21,7,-8,25,5,-15,35,-40,-12,35,-42,-15,4,-42,-15,8,-46,25,8,-6,27,8,-13,27,-35,-10,34,-39,-13,35,-42,-16,-2,-45,-17,9,-49,21,7,-46,26,4,-9,25,2,-15,36,-42,-16,32,-39,-14,-1,-45,-17,5,-45,21,9,-53,23,6,-5,28,-38,-11,35,-41,-14,36,-40,-20,-1,-82,-17,3,-50,24,6,-51,23,7,-9,28,4,-10,35,-40,-15,36,-42,-18,3,-46,-15,7,-52,25,10,-47,25,8,-9,27,5,-11,31,-42,-17,37,-41,-15,2,-42,-17,4,-87,24,6,-47,23,8,-7,26,5,-10,33,-38,-12,34,-42,-16,2,-42,-15,6,-88,25,9,-49,17,7,-8,23,6,-9,27,-39,-12,36,-41,-14,-1
-16,4,-11,-8,4,-6,-13,5,-8,-10,4,-13,-9,1,-10,-3,-43,-15,-2,-40,-15,0,-50,-14,5,-50,22,7,-8,21,3,-9,26,3,-14,37,-42,-15,-4,-39,-18,4,-44,-17,5,-51,-19,7,-50,25,6,-6,32,0,-17,32,-42,-14,35,-77,-17,1,-43,-19,5,-45,27,7,-49,25,2,-8,27,0,-14,34,-79,-12,31,-80,-16,2,-46,-15,5,-51,24,8,-48,27,6,-11,26,-36,-12,34,-36,-15,35,-78,-16,2,-42,-15,4,-87,-16,5,-52,19,4,-10,24,8,-13,31,-40,-13,34,-81,-18,4,-45,-20,8,-51,19,7,-13,22,4,-10,22,-39,-13,34,-39,-13,38,-46,-20,0,-78,-18,8,-88,21,10,-49,26,6,-8,29,-36,-10,34,-39,-12,-1,-43,-13,3,-84,-16,8,-85,21,8,-51,19,6,-10,23,4,-13,34,-42,-14,40,-83,-18,4,-85,-15,9,-52,22,8,-8,23,5,-13,30,3,-15,34,-79,-14,37,-80,-15,0,-46,-15,6,-50,25,7,-8,23,6,-8,27,2,-10,34,-41,-11,39,-82,-16,-1,-83,-15,8,-47,22,5,-51,20,5,-9,28,-1,-13,31,-39,-15,35,-42,-14,3,-46,-15,7,-45,23,8,-8,26,2,-10,28,7,-13,34,-40,-15,32,-77,-16,1,-82,-16,8,-49,20,9,-6,24,8,-11,29,5,-11,35,-40,-15,36,-79,-14,1,-43,-15,6,-50,23,9,-7,22,6,-8,28,2,-10,39,-44,-13,41,-80,-14,4,-84,-14,7,-46,25,6,-48,19,5,-12,31,6,-14,36,-38,-12,39,-80,-14,0,-84,-15,8,-51,20,6,21,13,-66,-17,178,167,-20,19,-92,-12,45,-81,-21,-2,-89,-12,6,-48,21,-242,-593,-287,-119,-14,30,-287,-817,-137,-66,12,50,-45,-16,1,-45,-13,0,-45,23,3,-7,21,2,-11,28,-43,-10,36,-36,-12,0,-43,-14,2,-85,-17,5,-53,27,8,-6,25,6,-10,29,-37,-10,38,-79,-17,-3,-40,-18,0,-83,-15,5,-48,27,6,-49,26,8,-11,28,-35,-11,37,-81,-16,37,-84,-17,5,-43,-18,8,-49,24,10,-8,22,6,-8,32,-35,-12,37,-41,-14,1,-40,-17,4,-84,-34,-21,-105,-31,6,-4,31,4,-14,33,-37,-17,34,-39,-16,2,-45,-15,6,-83,-20,8,-47,24,9,-12,25,5,-10,31,-39,-16,36,-43,-19,0,-79,-14,3,-48,-16,9,-46,21,3,-9,24,6,-10,29,-41,-12,36,-42,-14,-3,-43
